traj,x,y,z
596,1.33036041,0.555622458,10.2932978
597,1.31616509,0.548532844,10.2844925
598,1.30203128,0.541442454,10.2757235
599,1.28795362,0.534344018,10.2669916
600,1.27393341,0.527243197,10.2582922
601,1.25997055,0.520138383,10.2496223
602,1.24606228,0.513026237,10.2409878
603,1.23220789,0.505905807,10.2323866
604,1.21840572,0.498772174,10.2238283
605,1.20465887,0.491635561,10.2152977
606,1.19096255,0.484486103,10.2068033
607,1.17731893,0.477325201,10.1983471
608,1.16372621,0.470154405,10.1899185
609,1.15018117,0.462965727,10.1815395
610,1.13668478,0.455767155,10.1731825
611,1.12323701,0.448552012,10.1648674
612,1.109833,0.441316962,10.1565943
613,1.09648097,0.434071183,10.1483545
614,1.08316767,0.426801324,10.1401472
615,1.06990457,0.419517606,10.1319857
616,1.05667973,0.412211716,10.1238499
617,1.04349816,0.404883385,10.1157598
618,1.03036129,0.39753601,10.1077089
619,1.01726139,0.390163481,10.0996923
620,1.00420666,0.382771343,10.0917177
621,0.991183281,0.375349641,10.0837765
622,0.97820729,0.367909878,10.0758781
623,0.9652614,0.360437036,10.068018
624,0.9523561,0.352943361,10.0601921
625,0.939484119,0.345416903,10.0524111
626,0.926650286,0.337865829,10.0446672
627,0.913848221,0.330284387,10.0369606
628,0.901081145,0.322671384,10.0293026
629,0.88834995,0.315033913,10.021678
630,0.875644922,0.30735901,10.0140896
631,0.862974107,0.299652934,10.0065498
632,0.850331604,0.291911513,9.99904919
633,0.837717056,0.284136772,9.99158573
634,0.825134516,0.276329875,9.98416233
635,0.812578321,0.268485218,9.97678375
636,0.800042748,0.260597825,9.96944332
637,0.787545323,0.252684891,9.96215057
638,0.77506572,0.244727999,9.95489216
639,0.762616038,0.236737654,9.94767666
640,0.75018394,0.228700012,9.94050503
641,0.737778425,0.220624819,9.93338013
642,0.725395381,0.212512299,9.9262886
643,0.713032365,0.204354018,9.91924381
644,0.700692356,0.196157128,9.91224194
645,0.688370705,0.187913358,9.90528584
646,0.676071525,0.179629177,9.89837456
647,0.663789809,0.171301529,9.89149761
648,0.651519775,0.162920222,9.88467121
649,0.639273107,0.154501677,9.87788105
650,0.627041519,0.146033838,9.87114334
651,0.61482662,0.137518331,9.8644495
652,0.602625728,0.128955379,9.85779858
653,0.590436161,0.120341018,9.85118866
654,0.57826221,0.111679442,9.84462547
655,0.56610328,0.10296993,9.83810902
656,0.553956151,0.0942102298,9.83163548
657,0.541815341,0.0853936225,9.8252058
658,0.529686511,0.0765260458,9.81882381
659,0.517571628,0.067610234,9.81248665
660,0.505463302,0.0586382411,9.80619526
661,0.493361354,0.0496101715,9.7999506
662,0.481269598,0.0405287854,9.79375553
663,0.469187081,0.0313961394,9.78760242
664,0.457109123,0.0222034734,9.78150082
665,0.445033491,0.012953314,9.77543831
666,0.432968378,0.00364898378,9.76943207
667,0.420900881,-0.00571742887,9.76346111
