traj,x,y,z
297,5.35355282,5.85377407,5.16200542
298,5.38402462,5.87136555,5.23464823
299,5.41411209,5.88815641,5.30755138
300,5.44381523,5.90414,5.38070154
301,5.47311544,5.91930723,5.45406818
302,5.50200796,5.93365335,5.5276475
303,5.53048468,5.9471693,5.60141087
304,5.55853033,5.9598465,5.67533684
305,5.58614445,5.97167587,5.74942589
306,5.61331034,5.98266029,5.82363319
307,5.64002705,5.99278736,5.89795399
308,5.66627741,6.00205231,5.97236347
309,5.69206095,6.0104537,6.04684734
310,5.71736145,6.01798773,6.12137794
311,5.74218321,6.02464437,6.19594526
312,5.76650667,6.0304327,6.27051973
313,5.7903285,6.03534174,6.34508705
314,5.81364059,6.03936863,6.41962051
315,5.83643579,6.04251766,6.49410439
316,5.85871029,6.04478788,6.5685215
317,5.88045311,6.04617357,6.64285326
318,5.90166092,6.04667377,6.71707296
319,5.92232227,6.04630184,6.79115534
320,5.94243908,6.04504967,6.86508656
321,5.96199751,6.04292011,6.9388485
322,5.98099566,6.03991795,7.01241589
323,5.99942923,6.03604221,7.085783
324,6.0172925,6.03129816,7.15891171
325,6.03457785,6.02569914,7.23178291
326,6.05128479,6.01923513,7.30439472
327,6.0674057,6.01191854,7.37671089
328,6.08293629,6.00374985,7.4487257
329,6.09787893,5.99474812,7.52041626
330,6.11222124,5.98490429,7.5917511
331,6.12596416,5.97423792,7.66272259
332,6.13910294,5.96274948,7.73331451
333,6.15164185,5.95045471,7.80349922
334,6.16356611,5.93734932,7.87327385
335,6.17488575,5.92345619,7.9426074
336,6.18559265,5.90877056,8.01149845
337,6.195683,5.89331341,8.07991314
338,6.20516157,5.87709188,8.14784622
339,6.21402264,5.86012077,8.21526814
340,6.22226715,5.84239769,8.28218651
341,6.22989368,5.82394791,8.34856701
342,6.23690462,5.80477476,8.41439533
343,6.24329472,5.78490067,8.47966766
344,6.24907207,5.76432991,8.54436684
345,6.25423288,5.74307537,8.60847092
346,6.2587738,5.72114849,8.67198372
347,6.26270247,5.69857025,8.73486805
348,6.26601839,5.67534065,8.79713345
349,6.26872158,5.65149307,8.85875702
350,6.27081299,5.62702179,8.91973114
351,6.27229834,5.60195589,8.98004723
352,6.27318192,5.5763073,9.0396843
353,6.27346039,5.55008602,9.09865093
354,6.27313757,5.52330112,9.15690899
355,6.27222109,5.49598408,9.2144804
356,6.27071285,5.46814489,9.27134705
