traj,x,y,z
502,3.04847908,1.40566993,11.1949453
503,3.02522039,1.39220154,11.1859312
504,3.00207329,1.37888849,11.1768436
505,2.97904849,1.36573875,11.1677046
506,2.95614195,1.35274363,11.1585102
507,2.93335128,1.33989692,11.149271
508,2.91067958,1.32720077,11.1399736
509,2.88812208,1.31465352,11.1306257
510,2.8656888,1.30225456,11.1212416
511,2.8433826,1.2900033,11.1118107
512,2.82117891,1.27787971,11.102334
513,2.79909849,1.2659049,11.0928173
514,2.77713418,1.25405931,11.0832615
515,2.75528884,1.24234986,11.0736742
516,2.73356509,1.23077071,11.0640526
517,2.71195984,1.21931958,11.054409
518,2.6904614,1.20799363,11.0447149
519,2.6690917,1.19679654,11.0350065
520,2.64782643,1.18571544,11.0252619
521,2.62669611,1.1747638,11.0155029
522,2.60567212,1.16392136,11.0057173
523,2.58476949,1.15320158,10.9959116
524,2.56397104,1.14258921,10.9860725
525,2.54329634,1.13208699,10.9762297
526,2.52273154,1.12169063,10.9663668
527,2.5022831,1.11140621,10.9564838
528,2.4819541,1.10122621,10.9465904
529,2.46173382,1.09115076,10.9366798
530,2.44163346,1.08117712,10.9267645
531,2.42164612,1.07130432,10.9168301
532,2.40176439,1.06151605,10.9068995
533,2.38199329,1.05182838,10.8969488
534,2.36233974,1.04223871,10.8869963
535,2.34278631,1.03272665,10.8770361
536,2.32335162,1.02331293,10.867074
537,2.30402684,1.01398504,10.8571072
538,2.2848103,1.0047369,10.8471489
539,2.26569462,0.995571375,10.8371735
540,2.24669337,0.986487448,10.8272076
541,2.22779417,0.977483749,10.8172379
542,2.20900917,0.968559921,10.8072767
543,2.19032788,0.959709167,10.7973175
544,2.17174482,0.9509269,10.7873602
545,2.15327668,0.942224562,10.7774143
546,2.13489819,0.933581352,10.7674665
547,2.11663055,0.925011396,10.7575321
548,2.09846115,0.916505992,10.7476015
549,2.08039761,0.908065498,10.7376852
550,2.06243491,0.899690092,10.7277775
551,2.04456997,0.891373336,10.7178736
552,2.02680755,0.883121312,10.7079878
553,2.00913548,0.874917328,10.6981106
554,1.99156559,0.866775751,10.6882429
555,1.97409034,0.858686745,10.6783905
556,1.95671034,0.850643992,10.6685581
557,1.93943202,0.842666447,10.6587334
558,1.92224562,0.834730446,10.6489334
559,1.90514183,0.826834559,10.6391401
560,1.88814628,0.818996847,10.6293755
561,1.87123239,0.811200082,10.6196165
562,1.85440886,0.803444386,10.6098785
563,1.83767521,0.795728266,10.6001558
564,1.82103956,0.788060069,10.5904636
565,1.80449092,0.780428827,10.5807886
566,1.78801835,0.772829533,10.5711269
567,1.77163839,0.765268564,10.5614882
568,1.7553488,0.757742763,10.5518789
569,1.73913097,0.750242114,10.5422821
570,1.72301435,0.742788017,10.5327139
571,1.70697212,0.735357642,10.5231628
572,1.69101465,0.727953851,10.513649
573,1.67513633,0.720580697,10.5041456
574,1.65933263,0.713226199,10.4946699
575,1.6436137,0.70590049,10.4852209
576,1.62798095,0.698604286,10.4758034
577,1.61241376,0.6913234,10.4663982
578,1.59692705,0.68406117,10.4570284
579,1.58151925,0.676825762,10.4476824
580,1.56618774,0.669606209,10.4383688
581,1.55093074,0.662408113,10.4290762
582,1.53574646,0.655222058,10.419817
583,1.52062774,0.648041368,10.4105844
584,1.50558102,0.640880942,10.40137
585,1.49060965,0.633734167,10.3921995
586,1.47571027,0.626602352,10.3830481
587,1.46087873,0.619474947,10.3739395
588,1.44610763,0.612352431,10.364851
589,1.43141806,0.605250597,10.3557968
590,1.41678202,0.598143876,10.3467712
591,1.40221548,0.591045797,10.3377762
592,1.38770449,0.583942294,10.3288097
593,1.37327421,0.576860785,10.3198795
594,1.35888934,0.569764495,10.310977
595,1.34457719,0.562676013,10.3021135
596,1.33032703,0.55559361,10.2932749
597,1.31613052,0.548499823,10.2844801
598,1.30198932,0.54140228,10.2757072
599,1.28791487,0.53430748,10.2669744
600,1.27388406,0.527194202,10.258276
601,1.25993752,0.520106256,10.2496138
602,1.24602079,0.512987673,10.2409716
603,1.23216772,0.505864441,10.2323771
604,1.21836579,0.498735875,10.2238092
605,1.20462239,0.491600007,10.2152824
606,1.19092584,0.484449983,10.20679
607,1.17728639,0.477294147,10.1983337
608,1.16368651,0.470115751,10.1899109
609,1.15013623,0.462922186,10.1815252
610,1.13665462,0.455738455,10.1731691
611,1.1231966,0.44851011,10.1648598
612,1.10979354,0.44127661,10.1565847
613,1.0964359,0.434025943,10.1483383
614,1.0831306,0.426762521,10.1401377
615,1.06985891,0.41947192,10.1319714
616,1.05664384,0.41217503,10.1238413
617,1.04344881,0.404833376,10.1157427
618,1.03032041,0.397495836,10.1076937
619,1.01722252,0.390123457,10.099678
620,1.00415933,0.382724255,10.0916986
621,0.991137087,0.37530461,10.0837574
622,0.978164256,0.36786741,10.07586
623,0.965217888,0.360393196,10.0680008
624,0.952311158,0.352895617,10.0601788
625,0.939444363,0.345377654,10.0523911
626,0.926609397,0.337823659,10.0446548
627,0.913805127,0.33024013,10.0369511
628,0.901044369,0.322634727,10.0292873
629,0.888299882,0.314982563,10.0216637
630,0.87559253,0.30730325,10.0140772
631,0.862925529,0.299602032,10.0065384
632,0.85028702,0.291867465,9.99903107
633,0.83767134,0.284091383,9.9915638
634,0.825089574,0.276282936,9.98414803
635,0.812526703,0.268431067,9.97676659
636,0.799997389,0.260552257,9.96942806
637,0.787497282,0.252636224,9.96213055
638,0.775021374,0.244683266,9.95487404
639,0.762564838,0.236684427,9.94766331
640,0.750136137,0.228651896,9.94048691
641,0.737737119,0.22058329,9.93336391
642,0.725342393,0.212456852,9.92627144
643,0.712988138,0.204306066,9.91923809
644,0.700646937,0.196107805,9.91223431
645,0.68831718,0.187857643,9.90527153
646,0.676018715,0.17957297,9.89836121
647,0.663743138,0.171250626,9.89148808
648,0.651473641,0.162871599,9.88466072
649,0.639229357,0.154453486,9.87787342
650,0.62699008,0.145979211,9.87112904
651,0.614779592,0.137468919,9.8644352
652,0.602576435,0.12890403,9.85778236
653,0.590395749,0.120297126,9.85117722
654,0.578217804,0.111631967,9.84461498
655,0.566050291,0.102914423,9.83808994
656,0.553902566,0.0941526294,9.83162212
657,0.541767597,0.0853421092,9.82519341
658,0.529646933,0.0764836743,9.81880856
659,0.517517507,0.0675513297,9.8124752
660,0.505410254,0.0585810654,9.80618572
661,0.493314266,0.0495590158,9.79994011
662,0.481227905,0.0404844023,9.79374123
663,0.469139576,0.0313430876,9.78759384
664,0.457060933,0.0221499074,9.78149033
665,0.44497788,0.0128927454,9.77542305
666,0.432908833,0.00358354999,9.76942062
667,0.420843333,-0.0057829679,9.76345921
668,0.408794016,-0.0151927602,9.7575407
669,0.396722704,-0.0246902686,9.75166893
670,0.384668201,-0.0342312641,9.74584866
671,0.372616351,-0.0438324884,9.74007893
672,0.360562772,-0.0534978062,9.73435593
673,0.348517329,-0.0632159188,9.72868729
674,0.336453319,-0.0730167031,9.72305775
675,0.32439661,-0.0828704461,9.71748447
676,0.312342048,-0.0927816331,9.71195126
677,0.300286174,-0.102758221,9.70647144
678,0.28822884,-0.112799168,9.7010498
679,0.276161194,-0.122911133,9.69567585
680,0.264093965,-0.133082733,9.69034195
681,0.252010196,-0.143336311,9.68506813
682,0.239932075,-0.15364176,9.67983723
683,0.227848813,-0.16401571,9.67466831
684,0.21574904,-0.174469635,9.66954517
