traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
859,-7.15745926,-4.78034639,5.60348558,7.86282444,3.4064405,-2.4872191,8.21393299,9.46888828,11.9576216,-1.25845408,-4.1047039,13.2375793,-5.43227959,8.76958561,2.78513479,-4.87475157,-5.61615944,3.09410453,-0.645922482,-6.29790878
860,-7.14102364,-4.82806063,5.56424952,7.90098095,3.37925076,-2.46822023,8.22144699,9.62151623,11.8889227,-1.43160486,-4.0498333,13.2770128,-5.28888178,8.7935276,2.89822721,-5.06223917,-5.51289606,3.04080391,-0.662316978,-6.28123474
861,-7.13226748,-4.87622213,5.52851772,7.93989563,3.3510983,-2.44061613,8.23078537,9.82929039,11.7877226,-1.68424535,-3.96172881,13.3190527,-5.1061573,8.80348301,3.07136154,-5.34792757,-5.34047365,2.975703,-0.694779873,-6.25573063
862,-7.11808109,-4.92410564,5.48837996,7.97819281,3.32346964,-2.42048287,8.23764801,9.99224663,11.7023582,-1.87755251,-3.90150905,13.3554363,-4.95212364,8.814147,3.1881659,-5.55942011,-5.20962667,2.92267013,-0.716630816,-6.23589993
863,-7.10474205,-4.97143698,5.44813824,8.01641655,3.29607487,-2.39952874,8.24449825,10.1585016,11.6087122,-2.07840228,-3.84076953,13.3911572,-4.79164219,8.82061863,3.30293417,-5.77665567,-5.06881428,2.87137461,-0.740326464,-6.21466064
864,-7.09206343,-5.01815987,5.40792227,8.05438423,3.26874113,-2.37858701,8.25090504,10.3249846,11.5083599,-2.28297663,-3.78108454,13.4250555,-4.62841511,8.82242489,3.41300416,-5.99454117,-4.92059183,2.82296753,-0.765259266,-6.19259787
865,-7.08106375,-5.06409216,5.36854696,8.09221554,3.24192357,-2.35564685,8.25767422,10.4994268,11.394599,-2.50288343,-3.71905279,13.4588928,-4.45273256,8.81941128,3.52440286,-6.22420835,-4.75580215,2.77687025,-0.793444574,-6.1687026
866,-7.06813812,-5.11046028,5.32608747,8.13002777,3.21465778,-2.33618331,8.26306152,10.6572409,11.2860737,-2.70079136,-3.66674137,13.4895849,-4.28947592,8.8144083,3.6164887,-6.42869568,-4.60402822,2.73597646,-0.818558574,-6.14582253
867,-7.05691147,-5.15585279,5.28475523,8.16752243,3.1880374,-2.31492496,8.26875782,10.8215799,11.1646709,-2.91211486,-3.61295366,13.5198841,-4.11513567,8.8046875,3.70907688,-6.64227724,-4.43683434,2.69830704,-0.846728027,-6.12147856
868,-7.0413084,-5.20154762,5.23881817,8.20487881,3.16137886,-2.29903913,8.27293491,10.9569454,11.061224,-3.08044362,-3.57520056,13.5474062,-3.96495986,8.80013561,3.77217078,-6.80882502,-4.30473232,2.6657548,-0.867144883,-6.10056496
