framework,algorithm,phase,mode,tier,n,setting_kind,setting,golden_rmse,finite_trajectories,failed_trajectories,finals_path
julia,tsit5,performance,fixed,fixed,8,dt,0.0029296875,,8,0,
julia,tsit5,performance,adaptive,julia,8,tol,1.0e-8,,8,0,
julia,tsit5,performance,fixed,fixed,32,dt,0.0029296875,,32,0,
