implementation,repeat,milliseconds
myokit_cuda,1,6.535600055940449
myokit_cuda,2,6.76510005723685
myokit_cuda,3,6.2408000230789185
myokit_cuda,4,7.200799998827279
myokit_cuda,5,6.350000039674342
myokit_cuda,6,6.631699972786009
myokit_cuda,7,6.617899984121323
myokit_cuda,8,6.293499958701432
myokit_cuda,9,6.6890999441966414
myokit_cuda,10,6.1416999669745564
myokit_cuda,11,6.327599985525012
myokit_cuda,12,6.429899949580431
myokit_cuda,13,6.128000095486641
myokit_cuda,14,6.333300028927624
myokit_cuda,15,6.406300002709031
myokit_cuda,16,6.329900003038347
myokit_cuda,17,6.435599992983043
myokit_cuda,18,6.132299895398319
myokit_cuda,19,6.397600052878261
myokit_cuda,20,6.637300015427172
myokit_cuda,21,6.193900015205145
myokit_cuda,22,6.357699981890619
myokit_cuda,23,6.597900064662099
myokit_cuda,24,6.298899999819696
myokit_cuda,25,5.9640000108629465
myokit_cuda,26,5.485999980010092
myokit_cuda,27,5.674200016073883
myokit_cuda,28,5.984299932606518
myokit_cuda,29,5.530899972654879
myokit_cuda,30,5.688200006261468
myokit_cuda,31,5.969499936327338
myokit_cuda,32,5.514400079846382
myokit_cuda,33,5.691200029104948
myokit_cuda,34,6.010000011883676
myokit_cuda,35,5.585899925790727
myokit_cuda,36,5.761799984611571
myokit_cuda,37,5.948300007730722
myokit_cuda,38,5.504300002939999
myokit_cuda,39,5.670399987138808
myokit_cuda,40,5.909199942834675
myokit_cuda,41,5.5822000140324235
myokit_cuda,42,5.718900007195771
myokit_cuda,43,5.9019000036641955
myokit_cuda,44,5.4805000545457006
myokit_cuda,45,5.751200020313263
myokit_cuda,46,5.986300064250827
myokit_cuda,47,5.652399966493249
myokit_cuda,48,6.3495999202132225
myokit_cuda,49,5.72500005364418
myokit_cuda,50,5.8481000596657395
myokit_cuda,51,6.0032999608665705
myokit_cuda,52,5.532399984076619
myokit_cuda,53,5.701399990357459
myokit_cuda,54,5.79579989425838
myokit_cuda,55,5.482700071297586
myokit_cuda,56,5.73229999281466
myokit_cuda,57,5.8077999856323
myokit_cuda,58,5.472599994391203
myokit_cuda,59,5.647900048643351
myokit_cuda,60,5.721099907532334
myokit_cuda,61,5.470100091770291
myokit_cuda,62,5.65250008367002
myokit_cuda,63,5.730499979108572
myokit_cuda,64,5.450899945572019
myokit_cuda,65,5.658900015987456
myokit_cuda,66,5.73690002784133
myokit_cuda,67,5.4444000124931335
myokit_cuda,68,5.642700009047985
myokit_cuda,69,5.741199944168329
myokit_cuda,70,5.446200026199222
myokit_cuda,71,5.702800001017749
myokit_cuda,72,5.82269998267293
myokit_cuda,73,5.51899999845773
myokit_cuda,74,5.7385999243706465
myokit_cuda,75,5.836999975144863
myokit_cuda,76,5.474800011143088
myokit_cuda,77,5.812100018374622
myokit_cuda,78,5.782999913208187
myokit_cuda,79,5.466200062073767
myokit_cuda,80,5.667799967341125
myokit_cuda,81,5.788699956610799
myokit_cuda,82,5.484199966304004
myokit_cuda,83,5.657100002281368
myokit_cuda,84,5.93079999089241
myokit_cuda,85,5.540699930861592
myokit_cuda,86,5.7354000164195895
myokit_cuda,87,5.688700010068715
myokit_cuda,88,5.521599901840091
myokit_cuda,89,5.724800052121282
myokit_cuda,90,5.607699975371361
myokit_cuda,91,5.557999946177006
myokit_cuda,92,6.278199958615005
myokit_cuda,93,5.576499970629811
myokit_cuda,94,5.757199949584901
myokit_cuda,95,6.012600031681359
myokit_cuda,96,5.521800019778311
myokit_cuda,97,5.692500039003789
myokit_cuda,98,5.7972000213339925
myokit_cuda,99,5.473500001244247
myokit_cuda,100,5.6600000243633986
cubie,1,6.4221000066027045
cubie,2,6.620300002396107
cubie,3,6.304800044745207
cubie,4,5.758700077421963
cubie,5,5.122700007632375
cubie,6,6.648499984294176
cubie,7,5.400800029747188
cubie,8,6.321399938315153
cubie,9,6.303200032562017
cubie,10,5.288499989546835
cubie,11,5.010499968193471
cubie,12,5.667599965818226
cubie,13,5.376500077545643
cubie,14,5.163099966011941
cubie,15,6.420799996703863
cubie,16,6.982099963352084
cubie,17,5.091600003652275
cubie,18,5.36179996561259
cubie,19,6.121000042185187
cubie,20,5.01830002758652
cubie,21,5.2146000089123845
cubie,22,6.417899974621832
cubie,23,5.127200041897595
cubie,24,4.892700002528727
cubie,25,5.128899938426912
cubie,26,4.5535999815911055
cubie,27,4.755500005558133
cubie,28,7.227999973110855
cubie,29,5.07750001270324
cubie,30,5.147700081579387
cubie,31,5.895900074392557
cubie,32,5.172799923457205
cubie,33,5.3666000021621585
cubie,34,6.521800067275763
cubie,35,5.257199984043837
cubie,36,6.575500010512769
cubie,37,6.955499993637204
cubie,38,5.169900017790496
cubie,39,6.672599934972823
cubie,40,6.807500030845404
cubie,41,5.28179993852973
cubie,42,6.7631000420078635
cubie,43,4.901199950836599
cubie,44,6.283299997448921
cubie,45,7.157400017604232
cubie,46,5.206200061365962
cubie,47,5.633799941278994
cubie,48,5.259800003841519
cubie,49,6.961900042369962
cubie,50,5.528999958187342
cubie,51,6.234799977391958
cubie,52,6.779800052754581
cubie,53,5.52629993762821
cubie,54,6.2426000367850065
cubie,55,6.877899984829128
cubie,56,6.810100050643086
cubie,57,5.21830003708601
cubie,58,5.198800005018711
cubie,59,6.627500057220459
