framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
julia,rosenbrock23_sciml,performance,adaptive,julia,both,8388608,tol,1.0e-8,20,1636.798831,1636.94212995,1650.4955439999999,1652.3092620500001,1656.43802
julia,rosenbrock23_sciml,performance,adaptive,julia,none,8388608,tol,1.0e-8,20,1556.873244,1556.9492174000002,1557.6319604999999,1559.59222005,1561.50383
julia,kvaerno3,performance,fixed,fixed,both,131072,dt,0.0009765625,20,23.705033,23.71389365,23.734553,23.83698295,23.846121
julia,kvaerno3,performance,fixed,fixed,none,131072,dt,0.0009765625,20,22.860299,22.865565800000002,22.8739585,22.88556045,22.889882
julia,kvaerno3,performance,adaptive,julia,both,131072,tol,1.0e-8,20,76.387729,76.43507985,76.606209,76.69726535000001,76.725183
julia,kvaerno3,performance,adaptive,julia,none,131072,tol,1.0e-8,20,75.444873,75.56999085000001,75.7381065,75.8248535,75.835636
julia,kvaerno3,performance,fixed,fixed,both,524288,dt,0.0009765625,20,85.329335,85.3297758,85.374235,88.36285755,88.523874
julia,kvaerno3,performance,fixed,fixed,none,524288,dt,0.0009765625,20,81.989307,82.00037449999999,82.0342335,82.07232035000001,82.123228
julia,kvaerno3,performance,adaptive,julia,both,524288,tol,1.0e-8,20,281.40354,281.4756944,281.7837995,284.81936709999997,284.83018
julia,kvaerno3,performance,adaptive,julia,none,524288,tol,1.0e-8,20,278.12403,278.19475085,278.3908605,278.58273205,278.585412
julia,kvaerno3,performance,fixed,fixed,both,2097152,dt,0.0009765625,20,327.82197,337.9872987,338.885726,339.3842082,342.074973
julia,kvaerno3,performance,fixed,fixed,none,2097152,dt,0.0009765625,20,315.08432,315.10717605,315.2293545,315.34349705,315.646415
julia,kvaerno3,performance,adaptive,julia,both,2097152,tol,1.0e-8,20,1094.164888,1094.8056031499998,1100.8854775,1108.3515771500001,1111.546753
julia,kvaerno3,performance,adaptive,julia,none,2097152,tol,1.0e-8,20,1072.071375,1072.07411765,1073.009881,1081.1869654,1081.208006
julia,kvaerno3,performance,fixed,fixed,both,8388608,dt,0.0009765625,20,1347.749591,1348.1911966,1349.4273134999999,1350.3924514,1350.789217
julia,kvaerno3,performance,fixed,fixed,none,8388608,dt,0.0009765625,20,1242.972106,1248.3354165,1255.1902075,1255.80091405,1259.720729
julia,kvaerno3,performance,adaptive,julia,both,8388608,tol,1.0e-8,20,4359.595453,4362.2181332,4393.7793455,4399.992737699999,4400.677967
julia,kvaerno3,performance,adaptive,julia,none,8388608,tol,1.0e-8,20,4266.992887,4267.1437393999995,4268.9105725,4305.604156549999,4306.179525
julia,kvaerno5,performance,fixed,fixed,both,131072,dt,0.0009765625,20,59.888258,59.90022135,60.045451,60.20399354999999,60.27267
julia,kvaerno5,performance,fixed,fixed,none,131072,dt,0.0009765625,20,59.029582,59.0342655,59.133929499999994,59.308363050000004,59.407506
julia,kvaerno5,performance,adaptive,julia,both,131072,tol,1.0e-8,20,14.409239,14.4175135,14.485895500000002,14.65063155,14.667533
julia,kvaerno5,performance,adaptive,julia,none,131072,tol,1.0e-8,20,13.479452,13.4986572,13.590095,13.67340215,13.68186
julia,kvaerno5,performance,fixed,fixed,both,524288,dt,0.0009765625,20,213.125564,213.2019288,213.632609,216.73670525,216.783089
julia,kvaerno5,performance,fixed,fixed,none,524288,dt,0.0009765625,20,208.649372,208.94532835,210.036553,210.43256159999999,210.452257
julia,kvaerno5,performance,adaptive,julia,both,524288,tol,1.0e-8,20,53.399586,53.438374499999995,53.7141385,56.40752365,56.806783
julia,kvaerno5,performance,adaptive,julia,none,524288,tol,1.0e-8,20,50.087448,50.111445950000004,50.2163705,50.333115899999996,50.371779
julia,kvaerno5,performance,fixed,fixed,both,2097152,dt,0.0009765625,20,834.007566,834.33871415,835.1603565,836.1991846000001,836.522329
julia,kvaerno5,performance,fixed,fixed,none,2097152,dt,0.0009765625,20,811.194702,811.22021235,811.6429989999999,812.0579541999999,812.677054
julia,kvaerno5,performance,adaptive,julia,both,2097152,tol,1.0e-8,20,209.233657,209.44485435,209.687624,221.1421866,221.362712
julia,kvaerno5,performance,adaptive,julia,none,2097152,tol,1.0e-8,20,196.555434,196.60881355,196.896263,197.2863947,197.37529
julia,kvaerno5,performance,fixed,fixed,both,8388608,dt,0.0009765625,20,3235.759934,3235.8526958,3236.8211405,3242.2393644999997,3244.300912
julia,kvaerno5,performance,fixed,fixed,none,8388608,dt,0.0009765625,20,3162.194772,3162.61848815,3164.7087405,3187.6522544,3187.947028
julia,kvaerno5,performance,adaptive,julia,both,8388608,tol,1.0e-8,20,873.06703,873.48018785,874.1317445,875.1084943,875.690033
julia,kvaerno5,performance,adaptive,julia,none,8388608,tol,1.0e-8,20,778.807378,779.5571655,780.1678005,781.5223905999999,784.176208
