traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
149,-4.19438791,-2.09216952,-1.50634003,-1.04858875,-1.02357447,4.61730528,-0.894250274,-6.0971756,-3.69112444,4.48440552,2.2340095,-6.82161808,-0.296020448,5.97059441,6.61149788,-3.8672359,1.58382297,6.86834764,7.3251729,-0.121787719,2.57115078,6.71713257,6.59180784,2.36680722,2.4361968,2.97573805,2.14446878,1.78855157,2.46142244,3.98331428,5.42844296,1.52340698
150,-4.20803833,-2.07157469,-1.51063943,-1.04560459,-1.02198792,4.65004396,-0.964363694,-6.06706142,-3.75526381,4.41336155,2.26198983,-6.83929396,-0.314399987,5.99614429,6.5793581,-3.91287398,1.58891976,6.91221237,7.31763887,-0.159338802,2.58097601,6.75283432,6.59984541,2.33964133,2.43471169,2.98447919,2.15069914,1.79579711,2.47628546,4.00939512,5.43692207,1.46632314
151,-4.22101545,-2.05126071,-1.51484799,-1.04257345,-1.02035701,4.68278742,-1.0342201,-6.03509617,-3.81859112,4.34163761,2.29058981,-6.85676241,-0.332599282,6.02151442,6.54672956,-3.95840836,1.59346402,6.95612907,7.30968189,-0.197090358,2.59078312,6.7886939,6.60760832,2.31226349,2.43333769,2.99326897,2.15695095,1.80308855,2.49124026,4.03555679,5.44493008,1.40889347
152,-4.2333374,-2.03123355,-1.51897728,-1.03950393,-1.01869535,4.71552563,-1.10380125,-6.0012598,-3.88110042,4.26923895,2.31975079,-6.87401581,-0.350649834,6.04670048,6.5135932,-4.00388527,1.59743345,7.00006866,7.30132341,-0.235048756,2.6005652,6.82473135,6.61506605,2.2846055,2.43209195,3.00216818,2.16323471,1.8103857,2.5062573,4.06179094,5.45246506,1.35110617
153,-4.24497795,-2.01152039,-1.52301824,-1.03639483,-1.01700222,4.74818754,-1.17291963,-5.96566248,-3.94266105,4.19639635,2.34937191,-6.89103985,-0.368567735,6.0716939,6.4799881,-4.04921007,1.60085201,7.0441246,7.29241562,-0.273201346,2.61042666,6.86105967,6.62209654,2.25661206,2.4310286,3.0111897,2.16954255,1.81771576,2.52136397,4.08809519,5.45950651,1.29301918
154,-4.25594997,-1.99214029,-1.52696776,-1.03324986,-1.01527107,4.78085661,-1.2417382,-5.9281826,-4.00336981,4.12292719,2.37954688,-6.90782499,-0.386330485,6.09654093,6.44580793,-4.09449196,1.60367918,7.08824444,7.28303385,-0.31162104,2.62026668,6.89760876,6.62880754,2.22830319,2.43010736,3.02036095,2.17591405,1.82506287,2.5365324,4.11444712,5.46605062,1.23467171
155,-4.26624298,-1.97307682,-1.53083479,-1.03006911,-1.01350367,4.81345987,-1.31008172,-5.88892365,-4.06310129,4.04906273,2.41014409,-6.92436266,-0.403928906,6.12118721,6.41118765,-4.13964462,1.60590863,7.13235235,7.27325487,-0.350195229,2.63007998,6.93431759,6.63520718,2.19978476,2.4293108,3.02957678,2.18228722,1.83244419,2.55179381,4.14087772,5.47209644,1.17602444
156,-4.27588511,-1.95431685,-1.53461015,-1.02684689,-1.0116961,4.84605742,-1.37807226,-5.84778214,-4.12193155,3.9746542,2.44125605,-6.94064665,-0.421353519,6.14569139,6.37601948,-4.18471766,1.60752785,7.17650127,7.26298809,-0.389007598,2.6398809,6.97125816,6.64126968,2.1709516,2.42863798,3.038903,2.18871474,1.83986115,2.56712866,4.1673584,5.47763348,1.11708713
157,-4.28485298,-1.9359014,-1.53829432,-1.02359033,-1.00984335,4.87863111,-1.44562292,-5.80480576,-4.17978716,3.89982271,2.47282934,-6.95666027,-0.438610554,6.17006493,6.34030914,-4.2296977,1.60853064,7.2206912,7.25223827,-0.428017527,2.64968348,7.00842142,6.64694881,2.14184427,2.4281435,3.04835677,2.1951685,1.84729517,2.58254075,4.19389963,5.48265982,1.05790842
158,-4.29315138,-1.91781878,-1.54189289,-1.02030027,-1.00795686,4.91113234,-1.51264358,-5.7600522,-4.23663092,3.82468081,2.50476217,-6.972404,-0.455723286,6.19425917,6.30410194,-4.27455902,1.60890782,7.26491928,7.24096775,-0.467242151,2.65951157,7.04587793,6.65219498,2.11238718,2.42785072,3.05796719,2.20162678,1.85472107,2.59802651,4.22051048,5.48716784,0.998455763
159,-4.3007803,-1.90007937,-1.54539466,-1.01697373,-1.00601971,4.94363499,-1.57924867,-5.71341991,-4.29249859,3.74911451,2.53717756,-6.98785496,-0.472614557,6.21833801,6.26736975,-4.31933403,1.60863006,7.30907154,7.22935152,-0.506612599,2.66925001,7.08343554,6.6571784,2.08276343,2.42763901,3.0676055,2.20814419,1.8622328,2.61362004,4.24717379,5.49113941,0.938788116
160,-4.30775499,-1.88265908,-1.54881942,-1.01361525,-1.00405431,4.9760313,-1.6452142,-5.66507626,-4.34728432,3.67339134,2.56984591,-7.00302076,-0.489380121,6.24222136,6.23014164,-4.36400127,1.6076988,7.35321617,7.21723223,-0.546218157,2.67897367,7.12127733,6.66176462,2.05275941,2.42758441,3.07739854,2.21468806,1.86973202,2.62927175,4.27389812,5.49459362,0.878844857
161,-4.31407833,-1.86560011,-1.55214477,-1.01022422,-1.00203705,5.00843382,-1.71073425,-5.61485243,-4.40107155,3.59729648,2.60297823,-7.0178771,-0.505927265,6.26602268,6.19237041,-4.40856457,1.60609996,7.39732218,7.2046895,-0.585950732,2.68867159,7.15930223,6.66595602,2.02254653,2.42771554,3.08729601,2.22125125,1.8772639,2.64500785,4.30066204,5.4975028,0.818718672
162,-4.3197403,-1.84888041,-1.55538106,-1.0067997,-0.999972165,5.04077005,-1.77564919,-5.56286573,-4.45377398,3.52103257,2.63643241,-7.0324254,-0.522300541,6.2896924,6.15407991,-4.45299816,1.60383165,7.44142485,7.19164467,-0.625863135,2.69836807,7.19758368,6.66970539,1.9920423,2.42804861,3.09733748,2.22783446,1.88480139,2.66081166,4.32747412,5.49987745,0.758386254
163,-4.32474613,-1.83254385,-1.55853498,-1.00335479,-0.997877598,5.0729804,-1.83983302,-5.50923634,-4.50533724,3.4447844,2.67005491,-7.0466671,-0.538512409,6.31314945,6.11538744,-4.49728394,1.60087335,7.48537445,7.17823553,-0.665940881,2.70796371,7.23603439,6.67316151,1.96127021,2.42846441,3.10744548,2.23446679,1.89239526,2.67670941,4.35431528,5.50168228,0.697915614
164,-4.32908869,-1.81653202,-1.56159699,-0.999871492,-0.99572736,5.10519123,-1.90350473,-5.45374918,-4.55585337,3.36826491,2.70410252,-7.06057024,-0.554509938,6.33655691,6.0761075,-4.54146433,1.59721982,7.52931833,7.16433477,-0.706137002,2.71758294,7.27474451,6.67609835,1.93026125,2.42915416,3.1176939,2.24104977,1.89997602,2.69270229,4.38125181,5.5029459,0.637175739
165,-4.33281136,-1.80088091,-1.56457126,-0.996363103,-0.993533671,5.13733244,-1.96651912,-5.39652014,-4.60525799,3.29168248,2.73838329,-7.07413769,-0.570344269,6.35982323,6.03625917,-4.58557606,1.592834,7.57313728,7.15001965,-0.746596754,2.72706079,7.31363773,6.67876625,1.89890754,2.42989254,3.12807918,2.24776554,1.90759671,2.70873451,4.40817213,5.5036521,0.576327503
166,-4.33587646,-1.78557289,-1.56745708,-0.992823124,-0.991289675,5.16941309,-2.02886224,-5.33757401,-4.65352917,3.21506953,2.7729528,-7.08735991,-0.585956395,6.38298941,5.99592924,-4.62953234,1.58773601,7.6168499,7.13526583,-0.787184536,2.73648906,7.35274458,6.68103456,1.86731696,2.43079424,3.13855338,2.25448656,1.91524589,2.72486734,4.43516493,5.50379944,0.515275776
167,-4.33829832,-1.7706517,-1.57025278,-0.989260137,-0.988995612,5.20142317,-2.09050298,-5.27692461,-4.70066833,3.13847613,2.80774951,-7.10023785,-0.601382434,6.4060421,5.95512438,-4.6733427,1.58191502,7.66042137,7.12015676,-0.827813268,2.74587202,7.39202118,6.68285561,1.83555019,2.43189287,3.14910078,2.26119685,1.92293894,2.74110055,4.46218491,5.5033536,0.454122066
168,-4.34007549,-1.75608397,-1.5729599,-0.985669613,-0.98664844,5.23339224,-2.15148377,-5.21451426,-4.7466774,3.06184602,2.8428309,-7.11274338,-0.616616309,6.42903042,5.91369057,-4.71705866,1.57533562,7.70395279,7.10447979,-0.868711412,2.75520897,7.43160963,6.68421555,1.80343056,2.43320346,3.15983987,2.26793003,1.9306227,2.7574048,4.48924971,5.50233936,0.392817289
169,-4.3412323,-1.7418704,-1.5755825,-0.982054174,-0.984259546,5.26524973,-2.21165609,-5.15050983,-4.79150438,2.98539495,2.87804437,-7.12489843,-0.631658137,6.45187378,5.87182236,-4.76061964,1.56800938,7.74725294,7.08850145,-0.909678161,2.76443052,7.47133923,6.68520832,1.77108943,2.43464112,3.17067194,2.2747004,1.93832803,2.77377081,4.5163269,5.50074959,0.331396818
170,-4.34173965,-1.72803509,-1.57811451,-0.978413463,-0.981810987,5.29704094,-2.27107406,-5.08484745,-4.83516693,2.90906692,2.91345429,-7.13667774,-0.646523416,6.47463942,5.82939339,-4.80406713,1.55991685,7.79042721,7.07208109,-0.950791538,2.77357364,7.5112834,6.68577623,1.73849142,2.43624139,3.18163538,2.28154159,1.94609761,2.7902441,4.54343987,5.4985652,0.269897223
171,-4.34164429,-1.71455729,-1.58056664,-0.974753559,-0.979318082,5.32874584,-2.32969499,-5.01756716,-4.87764692,2.83292699,2.94903135,-7.14807606,-0.661179602,6.49730587,5.78646612,-4.84735489,1.55104983,7.83341312,7.05524254,-0.992050052,2.78262615,7.55146599,6.68590975,1.70561326,2.43803263,3.19272804,2.28834438,1.95382917,2.80676794,4.57057571,5.49579811,0.208273485
172,-4.34089994,-1.70146728,-1.58293283,-0.971073449,-0.976773024,5.36036205,-2.38750458,-4.94868708,-4.91895008,2.75699377,2.98475051,-7.1590991,-0.675659239,6.51988077,5.74301672,-4.89051247,1.5413996,7.87620831,7.03805304,-1.0333848,2.79158258,7.5918088,6.68562508,1.67256665,2.43997908,3.20387626,2.29517198,1.96164811,2.82342529,4.59774399,5.49240446,0.146599531
173,-4.33954048,-1.68873227,-1.58521485,-0.967370152,-0.974176466,5.39187193,-2.44443393,-4.87829208,-4.95903254,2.68139482,3.02057099,-7.169734,-0.689923465,6.54235077,5.6991148,-4.93349314,1.5309664,7.91874886,7.02049208,-1.07484221,2.80040932,7.63235903,6.68493128,1.63920987,2.44207621,3.2152009,2.30206275,1.96946633,2.84013915,4.62493515,5.48842955,0.0848377049
174,-4.33758259,-1.67635834,-1.58740962,-0.963644981,-0.971516728,5.42334461,-2.50060892,-4.80620432,-4.99795866,2.6059413,3.05661726,-7.1799593,-0.703992307,6.56480265,5.65458441,-4.97636795,1.51971197,7.9611268,7.00250101,-1.11641026,2.80915952,7.67313862,6.68373823,1.60562932,2.44439745,3.22666407,2.3089385,1.97727692,2.85691643,4.65213299,5.48385477,0.0230194926
175,-4.33499622,-1.66436255,-1.58952308,-0.959902823,-0.968806267,5.45468569,-2.55583286,-4.73270178,-5.03565121,2.53094387,3.09269118,-7.18979597,-0.717856288,6.58713198,5.60962391,-5.01906395,1.50765848,8.00318623,6.98425198,-1.15805686,2.8177321,7.71402121,6.68222046,1.57189012,2.44681931,3.23817277,2.3158462,1.98515856,2.87381172,4.67935562,5.47864676,-0.0388330296
176,-4.3317976,-1.65273726,-1.59155476,-0.956142306,-0.966041565,5.48593998,-2.61017871,-4.65766716,-5.07215309,2.45628357,3.12886429,-7.19923306,-0.731565654,6.60940266,5.56407261,-5.06162786,1.4947685,8.04506683,6.96553326,-1.19984674,2.82622194,7.7551856,6.6801796,1.53785157,2.44946074,3.24984956,2.32276177,1.99304545,2.89079189,4.706604,5.47282457,-0.100725263
177,-4.32800627,-1.6414696,-1.59350538,-0.952363551,-0.963221967,5.51708078,-2.66358829,-4.58119822,-5.10743427,2.38205671,3.16511393,-7.20826387,-0.745047569,6.63159895,5.51807976,-5.10399818,1.48106742,8.08661938,6.94653368,-1.24168622,2.83455253,7.79649258,6.67774487,1.50359201,2.452214,3.26162624,2.32974219,2.00098467,2.9078548,4.73384714,5.46637583,-0.162638441
178,-4.32365751,-1.63057971,-1.59537613,-0.948574066,-0.960346282,5.5481348,-2.71608281,-4.50324678,-5.14151287,2.30824971,3.20143604,-7.21687841,-0.75836134,6.65373659,5.47149706,-5.14623642,1.46650541,8.12792683,6.92710924,-1.28368473,2.8427453,7.83803988,6.67483234,1.46904945,2.45517564,3.27359891,2.3367486,2.00889802,2.92494798,4.76104832,5.45932388,-0.2244872
179,-4.31866646,-1.62002909,-1.5971638,-0.944758534,-0.957399249,5.57911015,-2.76766109,-4.42382383,-5.17437553,2.23487973,3.23788524,-7.22506666,-0.771423399,6.67586088,5.42443609,-5.18827915,1.45111561,8.16890144,6.90743494,-1.32564056,2.85082173,7.87973356,6.67143536,1.43438017,2.45833302,3.2856338,2.34370589,2.01684499,2.94217968,4.78833485,5.45162678,-0.286459357
180,-4.31313181,-1.60987723,-1.59887743,-0.940941274,-0.954412043,5.60993862,-2.81820536,-4.34310579,-5.20603418,2.16209722,3.27426982,-7.23286581,-0.784378231,6.69786692,5.37683773,-5.23017025,1.43485606,8.2095871,6.88739491,-1.36773598,2.85873175,7.92163229,6.66758728,1.3994503,2.46165323,3.29783177,2.35072732,2.02481699,2.95945811,4.81554508,5.44329882,-0.348277986
181,-4.30696678,-1.60008168,-1.60050774,-0.937102556,-0.951351047,5.64066315,-2.86776185,-4.26104116,-5.23645878,2.08988404,3.31071687,-7.24023628,-0.797086835,6.71984577,5.32879114,-5.27184439,1.41775787,8.24990845,6.86705971,-1.40985346,2.86649036,7.96371031,6.66326952,1.36430812,2.46514559,3.31014991,2.35776401,2.03283739,2.97687459,4.84282017,5.43431473,-0.410131067
182,-4.30028105,-1.59064567,-1.60206985,-0.933259845,-0.948250651,5.67123365,-2.9162426,-4.17776918,-5.26566982,2.0183394,3.34709167,-7.2472086,-0.809663475,6.74172306,5.2802248,-5.31334352,1.39978135,8.28988838,6.8464036,-1.45208919,2.87405252,8.00596046,6.65853739,1.32892394,2.46876621,3.32259607,2.36484528,2.04086423,2.99432206,4.87002087,5.42470789,-0.47187829
183,-4.29296541,-1.58156347,-1.6035465,-0.929394722,-0.945065737,5.70176268,-2.96381807,-4.09298801,-5.29369497,1.94723594,3.38362265,-7.25372267,-0.82199192,6.76363897,5.23107719,-5.35468435,1.38091302,8.32949352,6.82549143,-1.49432826,2.88145518,8.04836655,6.65333891,1.29339159,2.47255945,3.33512068,2.3719101,2.04894257,3.01191616,4.89728642,5.41442537,-0.533658504
184,-4.28513575,-1.57284796,-1.60495579,-0.925528467,-0.941836834,5.73212576,-3.01026416,-4.00710535,-5.32049227,1.87690473,3.42005348,-7.2598424,-0.834184051,6.78546715,5.18144464,-5.39580393,1.36116433,8.36875725,6.80421877,-1.53665614,2.88869786,8.09100437,6.64758968,1.25760019,2.47658873,3.34787035,2.37899661,2.05699086,3.02953982,4.92449093,5.40351915,-0.595308185
185,-4.27673674,-1.56448078,-1.60628784,-0.921648383,-0.938541412,5.76237774,-3.05566883,-3.91996694,-5.34608555,1.80723298,3.45649409,-7.26553106,-0.846159637,6.80726242,5.1313467,-5.43672752,1.34054053,8.4075613,6.78278685,-1.57896483,2.89573288,8.13374138,6.64143705,1.22167718,2.48074293,3.36067271,2.3860743,2.06508231,3.0472703,4.95169544,5.39194441,-0.656908751
