traj,x,y,z
498,3.14270902,1.46120334,11.230401
499,3.11898303,1.44707191,11.2216425
500,3.09537435,1.43311238,11.2128143
501,3.07188153,1.41931629,11.2039213
502,3.04850388,1.4056859,11.1949615
503,3.02524567,1.39221907,11.1859407
504,3.00210381,1.37891173,11.1768608
505,2.97907758,1.36575961,11.1677217
506,2.95617008,1.35276389,11.1585274
507,2.93338203,1.33992159,11.1492815
508,2.91070867,1.32722509,11.1399879
509,2.88815594,1.31468034,11.1306429
510,2.86572242,1.30227935,11.1212549
511,2.84340978,1.2900269,11.1118202
512,2.82120681,1.27790499,11.1023455
513,2.7991271,1.26592541,11.0928297
514,2.77716374,1.25408244,11.0832767
515,2.75531936,1.2423712,11.0736876
516,2.73359275,1.23079193,11.0640669
517,2.71198487,1.21934211,11.0544157
518,2.69049358,1.20801711,11.0447302
519,2.66912079,1.19681883,11.0350227
520,2.64786363,1.18574226,11.025281
521,2.62672186,1.17478263,11.0155172
522,2.60569859,1.16394329,11.0057306
523,2.58479333,1.15322077,10.9959202
524,2.56400061,1.14260817,10.9860907
525,2.54332423,1.13210821,10.9762411
526,2.52276158,1.12171555,10.9663773
527,2.50231528,1.11143124,10.9564962
528,2.48198509,1.10125184,10.9466047
529,2.46176648,1.09117544,10.9366951
530,2.44166207,1.08119941,10.9267759
531,2.42167068,1.07132185,10.9168453
532,2.40178895,1.06153917,10.9069061
533,2.3820188,1.05184889,10.8969584
534,2.36236215,1.04225409,10.8870058
535,2.3428154,1.03274858,10.8770494
536,2.32338119,1.0233351,10.8670855
537,2.30405092,1.01400244,10.8571205
538,2.28483343,1.00475705,10.8471546
539,2.26572442,0.995593429,10.8371887
540,2.2467227,0.986511409,10.8272247
541,2.22782707,0.977507889,10.817256
542,2.20903802,0.968580782,10.8072939
543,2.19035316,0.959728479,10.7973318
544,2.17177534,0.950950146,10.7873783
545,2.15330005,0.942242205,10.7774258
546,2.13492751,0.933603287,10.7674837
547,2.11666274,0.92503649,10.7575474
548,2.09849334,0.916529894,10.7476187
549,2.08042812,0.908090413,10.7376957
550,2.062464,0.899715245,10.7277851
551,2.04460001,0.891399086,10.717885
552,2.02683353,0.883140624,10.7080021
553,2.00916576,0.874943852,10.6981173
554,1.99159575,0.866797984,10.6882591
555,1.97412217,0.858712077,10.6784029
556,1.95674467,0.850674927,10.6685715
557,1.93946147,0.842688322,10.6587505
558,1.92227066,0.834751546,10.648941
559,1.90517592,0.82686311,10.6391563
560,1.88817596,0.81902349,10.629384
561,1.87126064,0.811223686,10.619626
562,1.85444212,0.80347091,10.6098919
563,1.83771276,0.795760036,10.600173
564,1.82106936,0.788085163,10.590476
565,1.80451667,0.780450702,10.580802
566,1.78805029,0.772855163,10.5711422
567,1.77167058,0.765293062,10.5615082
568,1.75537777,0.757768273,10.5518904
569,1.73916781,0.75027436,10.5422974
570,1.72304344,0.742812335,10.5327301
571,1.7070024,0.735381186,10.5231838
572,1.69104004,0.727975905,10.5136595
573,1.67516196,0.720601082,10.5041618
574,1.65936625,0.713254154,10.4946861
575,1.64365244,0.705934823,10.4852362
576,1.62800968,0.698629975,10.4758129
577,1.61244619,0.691350996,10.4664106
578,1.5969615,0.684093297,10.4570408
579,1.58155668,0.67685765,10.4477024
580,1.56622028,0.669636369,10.4383802
581,1.55096006,0.662431657,10.4290915
582,1.53577399,0.655244887,10.4198332
583,1.520661,0.648073971,10.4105949
584,1.50561702,0.640913188,10.401391
585,1.49064434,0.633764863,10.3922148
586,1.47574329,0.626630485,10.38307
587,1.46090937,0.619503677,10.3739529
588,1.44614375,0.612386227,10.3648653
589,1.43144464,0.605275035,10.3558092
590,1.41681278,0.598173201,10.3467817
591,1.40224457,0.59107244,10.3377876
592,1.38774121,0.583977103,10.3288279
593,1.37330544,0.576889336,10.3198957
594,1.35892606,0.569798052,10.3109941
595,1.3446089,0.562706769,10.3021278
596,1.33035541,0.55561769,10.2932968
597,1.31616354,0.548530221,10.2844944
598,1.30202842,0.541437864,10.2757263
599,1.2879473,0.534338772,10.2669878
600,1.27392793,0.527236462,10.2582932
601,1.25996459,0.520131648,10.2496233
602,1.24605775,0.513020337,10.2409897
603,1.23220098,0.505897164,10.2323923
604,1.21840346,0.498770118,10.2238274
605,1.2046535,0.491629273,10.2152987
606,1.19095731,0.484479666,10.2068043
607,1.177315,0.477319747,10.198348
608,1.16372073,0.470147073,10.1899271
609,1.15017748,0.462962568,10.1815386
610,1.1366837,0.455764771,10.1731873
611,1.12323368,0.448546588,10.1648731
612,1.10983014,0.441313624,10.1565914
613,1.09647417,0.434063017,10.1483564
614,1.08316517,0.426798016,10.1401501
615,1.06989884,0.419511586,10.1319847
616,1.05667341,0.412202656,10.1238565
617,1.04349816,0.404882431,10.1157608
618,1.03035712,0.39753136,10.1077099
619,1.01725876,0.39015913,10.0996981
620,1.00419903,0.382763535,10.0917177
621,0.991180599,0.375345021,10.0837812
622,0.978202045,0.367904395,10.0758791
623,0.965256155,0.360430777,10.0680199
624,0.952353835,0.352939487,10.0601931
625,0.939479589,0.345411539,10.0524111
626,0.926644683,0.337859452,10.0446701
627,0.913842916,0.330277264,10.0369654
628,0.901078224,0.322668999,10.0292978
629,0.888340235,0.315023005,10.021678
630,0.8756392,0.307351917,10.0140924
631,0.862965167,0.299643546,10.0065479
632,0.850321591,0.29190138,9.99904919
633,0.837713122,0.284131885,9.99158573
634,0.825127006,0.276321769,9.98416233
635,0.812574387,0.26848048,9.97678375
636,0.800042748,0.260597974,9.96944141
637,0.787539184,0.252679139,9.96214676
638,0.775062382,0.244723931,9.9548912
639,0.762610555,0.236730635,9.94767761
640,0.750179648,0.22869502,9.94050598
641,0.737774134,0.220621228,9.93337631
642,0.725391328,0.212507248,9.9262886
643,0.713028491,0.204348713,9.91924953
644,0.700688422,0.196151689,9.91224384
645,0.688368082,0.187909976,9.90528679
646,0.676065564,0.179624259,9.89836693
647,0.663782835,0.171293408,9.89150143
648,0.65151608,0.16291602,9.88467312
649,0.639272153,0.154499412,9.87788773
650,0.627040029,0.146031007,9.87114716
651,0.614823699,0.137515128,9.86445236
652,0.602620423,0.128949687,9.85779762
653,0.590432644,0.120337345,9.85118866
654,0.578258991,0.111675255,9.84462833
655,0.566099048,0.102965787,9.83810616
656,0.553949893,0.0942025259,9.83163929
657,0.541810513,0.0853880048,9.8252058
658,0.529682338,0.0765209645,9.81882572
659,0.5175668,0.0676040128,9.81248951
660,0.505458057,0.0586314797,9.80619907
661,0.493358314,0.0496057495,9.79995441
662,0.481265873,0.040524669,9.79375553
663,0.469180018,0.0313875377,9.78760529
664,0.457101017,0.0221948288,9.78150082
665,0.445026338,0.0129440716,9.77544212
666,0.432958931,0.00363877323,9.76943016
667,0.42089653,-0.00572383683,9.76346493
668,0.408835053,-0.0151476618,9.75755024
669,0.396776766,-0.0246311128,9.75168324
670,0.384720802,-0.0341739692,9.7458601
671,0.372668207,-0.0437750928,9.74009132
672,0.360611737,-0.0534435362,9.73436928
673,0.348561168,-0.0631669015,9.72869301
674,0.336509913,-0.0729525462,9.72306728
675,0.324454308,-0.0828050971,9.71748924
676,0.312397927,-0.0927204639,9.71196651
677,0.3003335,-0.102705732,9.70648479
678,0.288277924,-0.112742811,9.70105457
679,0.276208967,-0.122856319,9.69567966
680,0.264139563,-0.133031741,9.69035244
681,0.252065003,-0.143273458,9.68507767
682,0.239983797,-0.153583929,9.67985058
683,0.227897882,-0.163960665,9.67467785
684,0.215802044,-0.1744086,9.66955376
685,0.203703195,-0.184920713,9.66448021
