framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
julia,kvaerno3,work_precision,adaptive,julia,both,131072,tol,1.0000000000000001e-7,20,8.319,8.367925,8.488050000000001,8.790465000000001,9.0615
julia,kvaerno3,work_precision,adaptive,julia,both,131072,tol,1.0e-5,20,2.5868,2.589935,2.65935,3.041430000000002,5.36
julia,kvaerno3,work_precision,adaptive,julia,both,131072,tol,1.0e-6,20,4.4354,4.47758,4.5939499999999995,5.309775,6.0465
julia,kvaerno3,work_precision,adaptive,julia,both,131072,tol,1.0e-8,20,17.2542,17.29695,17.56765,21.52142000000005,84.1211
julia,kvaerno3,work_precision,adaptive,julia,none,131072,tol,0.0001,20,0.8055,0.8194650000000001,0.85825,0.92924,0.9642
julia,kvaerno3,work_precision,adaptive,julia,none,131072,tol,0.001,20,0.4554,0.46281,0.4913,0.53327,0.5365
julia,kvaerno3,work_precision,adaptive,julia,none,131072,tol,0.010000000000000002,20,0.2994,0.29997,0.30425,0.37416000000000005,0.4114
julia,kvaerno3,work_precision,adaptive,julia,none,131072,tol,1.0000000000000001e-7,20,7.4265,7.4474,7.499700000000001,7.626659999999999,7.852
julia,kvaerno3,work_precision,adaptive,julia,none,131072,tol,1.0e-5,20,1.675,1.6761399999999997,1.6949,1.73336,1.7516
julia,kvaerno3,work_precision,adaptive,julia,none,131072,tol,1.0e-6,20,3.4555,3.465,3.57555,3.7341149999999996,3.7895
julia,kvaerno3,work_precision,adaptive,julia,none,131072,tol,1.0e-8,20,16.4549,16.461834999999997,16.611600000000003,16.809925,16.8427
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.0001220703125,20,44.421,44.452065000000005,44.9296,45.35608,45.4355
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.000244140625,20,22.1117,22.119870000000002,22.43895,22.71285,22.8392
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.00048828125,20,11.5241,11.561435,11.69975,12.050749999999999,12.2151
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.0009765625,20,6.2169,6.2348550000000005,6.3618500000000004,6.547495,6.8894
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.001953125,20,3.5069,3.512885,3.61205,4.421100000000005,11.5024
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.00390625,20,2.2659,2.3141599999999998,2.5330000000000004,6.895360000000057,83.0371
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.0078125,20,1.5084,1.57699,1.7275,3.311745,3.818
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.015625,20,1.2484,1.3025499999999999,1.5742500000000001,4.548865,5.1771
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.03125,10,1.3662,1.38087,1.6368,63.300735000000074,109.9413
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.0625,20,1.1509,1.16591,1.408,2.5322400000000096,15.7418
julia,kvaerno3,work_precision,fixed,fixed,none,131072,dt,0.0001220703125,20,43.2388,43.500524999999996,43.95235,44.251419999999996,44.3468
julia,kvaerno3,work_precision,fixed,fixed,none,131072,dt,0.000244140625,20,21.166,21.427155,21.54295,21.89957,21.9047
julia,kvaerno3,work_precision,fixed,fixed,none,131072,dt,0.00048828125,20,10.5192,10.55492,10.71235,10.970650000000001,10.9849
julia,kvaerno3,work_precision,fixed,fixed,none,131072,dt,0.0009765625,20,5.2547,5.275695,5.4098500000000005,5.64019,5.7445
julia,kvaerno3,work_precision,fixed,fixed,none,131072,dt,0.001953125,20,2.6177,2.62169,2.66275,2.74043,2.7524
julia,kvaerno3,work_precision,fixed,fixed,none,131072,dt,0.00390625,20,1.3118,1.316455,1.3356,1.406735,1.4131
julia,kvaerno3,work_precision,fixed,fixed,none,131072,dt,0.0078125,20,0.667,0.67764,0.70105,0.76703,0.8341
julia,kvaerno3,work_precision,fixed,fixed,none,131072,dt,0.015625,20,0.3853,0.38967,0.4124,0.4523400000000001,0.5158
julia,kvaerno3,work_precision,fixed,fixed,none,131072,dt,0.03125,20,0.2919,0.292945,0.2986,0.38267000000000007,0.4619
julia,kvaerno3,work_precision,fixed,fixed,none,131072,dt,0.0625,20,0.2172,0.21777,0.2218,0.30046,0.3168
julia,kvaerno5,performance,adaptive,julia,both,128,tol,1.0e-8,20,0.4635,0.464165,0.49639999999999995,0.571785,0.5867
julia,kvaerno5,performance,adaptive,julia,both,131072,tol,1.0e-8,20,3.0971,3.118475,3.4148,4.754679999999999,4.7676
julia,kvaerno5,performance,adaptive,julia,both,2048,tol,1.0e-8,20,0.4923,0.49344,0.54335,0.69997,0.7431
julia,kvaerno5,performance,adaptive,julia,both,2097152,tol,1.0e-8,20,37.148,37.640575,39.3935,94.86107,99.3122
julia,kvaerno5,performance,adaptive,julia,both,32,tol,1.0e-8,20,0.5252,0.53394,0.6314,0.865355,0.8873
julia,kvaerno5,performance,adaptive,julia,both,32768,tol,1.0e-8,20,1.1639,1.165325,1.3159,1.53719,1.5864
julia,kvaerno5,performance,adaptive,julia,both,512,tol,1.0e-8,20,0.4557,0.458455,0.49185,0.616435,0.6456
julia,kvaerno5,performance,adaptive,julia,both,524288,tol,1.0e-8,20,9.7231,9.913195,10.403749999999999,15.304665000000053,87.9638
julia,kvaerno5,performance,adaptive,julia,both,8,tol,1.0e-8,20,0.7831,0.785475,0.8337,0.9694950000000002,1.1537
julia,kvaerno5,performance,adaptive,julia,both,8192,tol,1.0e-8,20,0.6189,0.634955,0.6939,0.9027400000000001,1.0118
julia,kvaerno5,performance,adaptive,julia,both,8388608,tol,1.0e-8,10,152.9844,153.57358499999998,161.7451,166.48811,166.9859
julia,kvaerno5,performance,adaptive,julia,none,128,tol,1.0e-8,20,0.4315,0.43273500000000004,0.45605,0.515445,0.5752
julia,kvaerno5,performance,adaptive,julia,none,131072,tol,1.0e-8,20,1.9162,1.91791,1.9976500000000001,2.125965,2.1538
julia,kvaerno5,performance,adaptive,julia,none,2048,tol,1.0e-8,20,0.4257,0.4257,0.46265,0.548265,0.5609
julia,kvaerno5,performance,adaptive,julia,none,2097152,tol,1.0e-8,20,24.3956,24.708339999999996,25.1588,25.479104999999997,25.483
julia,kvaerno5,performance,adaptive,julia,none,32,tol,1.0e-8,20,0.49,0.49246999999999996,0.5364,0.63281,0.6786
julia,kvaerno5,performance,adaptive,julia,none,32768,tol,1.0e-8,20,0.8914,0.905555,0.9558,0.9799650000000001,0.9869
julia,kvaerno5,performance,adaptive,julia,none,512,tol,1.0e-8,20,0.3833,0.397265,0.4279,0.46433,0.5105
julia,kvaerno5,performance,adaptive,julia,none,524288,tol,1.0e-8,20,6.3853,6.425485,6.5351,6.794715,6.8064
julia,kvaerno5,performance,adaptive,julia,none,8,tol,1.0e-8,20,0.7347,0.746765,0.8116,0.8764000000000001,0.8859
julia,kvaerno5,performance,adaptive,julia,none,8192,tol,1.0e-8,20,0.4932,0.49585999999999997,0.5287999999999999,0.6236050000000001,0.6256
julia,kvaerno5,performance,adaptive,julia,none,8388608,tol,1.0e-8,20,98.2871,98.86052,99.36565,100.273735,100.6468
julia,kvaerno5,performance,fixed,fixed,both,128,dt,0.0009765625,20,3.8266,3.95561,4.109999999999999,4.233865000000001,4.5315
julia,kvaerno5,performance,fixed,fixed,both,131072,dt,0.0009765625,20,14.2694,14.301224999999999,14.603950000000001,14.92292,15.0715
julia,kvaerno5,performance,fixed,fixed,both,2048,dt,0.0009765625,20,3.2396,3.25879,3.3926,3.5417400000000003,3.5501
julia,kvaerno5,performance,fixed,fixed,both,2097152,dt,0.0009765625,10,177.5734,177.62902,178.0872,180.117365,180.4757
julia,kvaerno5,performance,fixed,fixed,both,32,dt,0.0009765625,20,5.8903,5.9024600000000005,6.0832999999999995,6.344460000000001,6.5052
julia,kvaerno5,performance,fixed,fixed,both,32768,dt,0.0009765625,20,4.9193,4.922624999999999,5.0751,5.214805,5.2225
julia,kvaerno5,performance,fixed,fixed,both,512,dt,0.0009765625,20,3.0986,3.113705,3.1909,3.27212,3.2763
julia,kvaerno5,performance,fixed,fixed,both,524288,dt,0.0009765625,20,46.5597,46.734785,47.2819,48.51844500000001,48.5383
julia,kvaerno5,performance,fixed,fixed,both,8,dt,0.0009765625,20,2.9393,2.95203,2.99665,3.0968649999999998,3.1342
julia,kvaerno5,performance,fixed,fixed,both,8192,dt,0.0009765625,20,3.6328,3.69056,3.8231,4.05473,4.2187
julia,kvaerno5,performance,fixed,fixed,both,8388608,dt,0.0009765625,10,703.121,703.75712,709.1511,712.4889450000001,713.3466
julia,kvaerno5,performance,fixed,fixed,none,128,dt,0.0009765625,20,2.8491,2.873135,2.94985,3.78382,3.8469
julia,kvaerno5,performance,fixed,fixed,none,131072,dt,0.0009765625,20,13.2707,13.277635000000002,13.3756,13.50282,13.7312
julia,kvaerno5,performance,fixed,fixed,none,2048,dt,0.0009765625,20,3.1718,3.176455,3.24655,3.329305,3.3636
julia,kvaerno5,performance,fixed,fixed,none,2097152,dt,0.0009765625,10,164.7352,164.93545,165.8416,166.69438000000002,167.2315
julia,kvaerno5,performance,fixed,fixed,none,32,dt,0.0009765625,20,3.7745,3.796825,3.84595,4.135585000000001,4.8155
julia,kvaerno5,performance,fixed,fixed,none,32768,dt,0.0009765625,20,4.6178,4.61894,4.66615,4.792835,4.9208
julia,kvaerno5,performance,fixed,fixed,none,512,dt,0.0009765625,20,3.0439,3.058625,3.08765,3.197855,3.4098
julia,kvaerno5,performance,fixed,fixed,none,524288,dt,0.0009765625,20,43.5214,43.577830000000006,43.788700000000006,44.19583,44.3218
julia,kvaerno5,performance,fixed,fixed,none,8,dt,0.0009765625,20,2.8649,2.8657550000000005,2.9158,3.0959450000000004,3.1538
julia,kvaerno5,performance,fixed,fixed,none,8192,dt,0.0009765625,20,3.4954,3.49977,3.5481,3.666895,3.6877
julia,kvaerno5,performance,fixed,fixed,none,8388608,dt,0.0009765625,10,651.2446,651.920275,655.0183999999999,656.56481,656.7233
julia,kvaerno5,work_precision,adaptive,julia,both,131072,tol,0.0001,20,1.43,1.520725,1.90845,2.082525,2.083
julia,kvaerno5,work_precision,adaptive,julia,both,131072,tol,0.001,20,1.4613,1.4974,1.9005,2.0193100000000004,2.0727
julia,kvaerno5,work_precision,adaptive,julia,both,131072,tol,0.010000000000000002,20,1.2976,1.31964,1.52795,4.398295,5.2323
julia,kvaerno5,work_precision,adaptive,julia,both,131072,tol,1.0000000000000001e-7,20,1.8021,1.818155,2.00645,2.417825,2.4468
julia,kvaerno5,work_precision,adaptive,julia,both,131072,tol,1.0e-5,20,1.5097,1.535065,1.86505,2.235625,2.2608
julia,kvaerno5,work_precision,adaptive,julia,both,131072,tol,1.0e-6,20,1.5796,1.61513,1.76255,2.0330850000000003,2.3064
julia,kvaerno5,work_precision,adaptive,julia,both,131072,tol,1.0e-8,20,2.7278,2.759435,2.8808,6.125265000000002,8.8492
julia,kvaerno5,work_precision,adaptive,julia,none,131072,tol,0.0001,20,0.378,0.396145,0.42425,0.50228,0.5057
julia,kvaerno5,work_precision,adaptive,julia,none,131072,tol,0.001,20,0.3328,0.334605,0.3467,0.36551000000000006,0.4455
julia,kvaerno5,work_precision,adaptive,julia,none,131072,tol,0.010000000000000002,20,0.2484,0.25571499999999997,0.31135,0.36756500000000003,0.3859
julia,kvaerno5,work_precision,adaptive,julia,none,131072,tol,1.0000000000000001e-7,20,0.9116,0.9118850000000001,0.9306000000000001,1.02843,1.0309
julia,kvaerno5,work_precision,adaptive,julia,none,131072,tol,1.0e-5,20,0.5112,0.520795,0.5904,0.66022,0.6663
julia,kvaerno5,work_precision,adaptive,julia,none,131072,tol,1.0e-6,20,0.636,0.63752,0.66615,0.803665,0.822
julia,kvaerno5,work_precision,adaptive,julia,none,131072,tol,1.0e-8,20,1.8933,1.8970049999999998,1.9107500000000002,1.94813,1.9924
julia,kvaerno5,work_precision,fixed,fixed,both,131072,dt,0.0001220703125,10,111.1516,111.24304,112.26665,113.063185,113.2669
julia,kvaerno5,work_precision,fixed,fixed,both,131072,dt,0.000244140625,20,55.6101,55.920750000000005,56.2329,57.152355,57.2864
julia,kvaerno5,work_precision,fixed,fixed,both,131072,dt,0.00048828125,20,27.8926,27.972400000000004,28.28185,28.885044999999998,28.9543
julia,kvaerno5,work_precision,fixed,fixed,both,131072,dt,0.0009765625,20,14.1705,14.20299,14.33935,14.620095,14.6523
julia,kvaerno5,work_precision,fixed,fixed,both,131072,dt,0.001953125,20,7.4351,7.54587,7.77325,7.974655,8.008
julia,kvaerno5,work_precision,fixed,fixed,both,131072,dt,0.00390625,20,4.0623,4.07883,4.23065,4.449775000000001,5.7299
julia,kvaerno5,work_precision,fixed,fixed,both,131072,dt,0.0078125,20,2.3962,2.41387,2.6060499999999998,2.745495,2.7682
julia,kvaerno5,work_precision,fixed,fixed,both,131072,dt,0.015625,20,1.594,1.7038200000000001,2.04465,2.30883,2.6476
julia,kvaerno5,work_precision,fixed,fixed,both,131072,dt,0.03125,20,1.3346,1.345335,1.4579499999999999,2.7895800000000124,19.5567
julia,kvaerno5,work_precision,fixed,fixed,both,131072,dt,0.0625,20,1.1654,1.18516,1.32805,1.82138,1.8305
julia,kvaerno5,work_precision,fixed,fixed,none,131072,dt,0.0001220703125,10,110.4522,110.54530500000001,110.97015,111.48467,111.5573
julia,kvaerno5,work_precision,fixed,fixed,none,131072,dt,0.000244140625,20,54.5343,54.64326500000001,55.4437,56.00387,56.1876
julia,kvaerno5,work_precision,fixed,fixed,none,131072,dt,0.00048828125,20,27.0788,27.10255,27.2346,27.673854999999996,27.7832
julia,kvaerno5,work_precision,fixed,fixed,none,131072,dt,0.0009765625,20,13.2432,13.253269999999999,13.314499999999999,13.665600000000001,13.7416
julia,kvaerno5,work_precision,fixed,fixed,none,131072,dt,0.001953125,20,6.3993,6.4123149999999995,6.4428,6.546925,6.7887
julia,kvaerno5,work_precision,fixed,fixed,none,131072,dt,0.00390625,20,3.1389,3.1558100000000002,3.2197500000000003,3.275635,3.2801
julia,kvaerno5,work_precision,fixed,fixed,none,131072,dt,0.0078125,20,1.4873,1.496895,1.5425,1.58207,1.5986
julia,kvaerno5,work_precision,fixed,fixed,none,131072,dt,0.015625,20,0.7565,0.7570699999999999,0.81055,0.9011899999999999,0.9105
julia,kvaerno5,work_precision,fixed,fixed,none,131072,dt,0.03125,20,0.4424,0.44430000000000003,0.46535000000000004,0.5523150000000001,0.5925
julia,kvaerno5,work_precision,fixed,fixed,none,131072,dt,0.0625,20,0.2851,0.2851,0.30945,0.361105,0.403
julia,rosenbrock23_sciml,performance,adaptive,julia,both,128,tol,1.0e-8,20,1.5937,1.59655,1.6616,1.72105,1.7619
julia,rosenbrock23_sciml,performance,adaptive,julia,both,131072,tol,1.0e-8,20,7.6944,7.7324,7.954750000000001,8.229365,8.5023
julia,rosenbrock23_sciml,performance,adaptive,julia,both,2048,tol,1.0e-8,20,1.6164,1.6353050000000002,1.6974999999999998,1.85676,1.97
julia,rosenbrock23_sciml,performance,adaptive,julia,both,2097152,tol,1.0e-8,10,106.8707,106.94927,107.97710000000001,112.39355499999999,112.7842
julia,rosenbrock23_sciml,performance,adaptive,julia,both,32,tol,1.0e-8,20,3.1063,3.132615,3.24425,3.3610400000000005,3.4549
julia,rosenbrock23_sciml,performance,adaptive,julia,both,32768,tol,1.0e-8,20,2.776,2.7855000000000003,2.841,2.953995,2.9805
julia,rosenbrock23_sciml,performance,adaptive,julia,both,512,tol,1.0e-8,20,1.62,1.63843,1.75225,1.83885,1.8569
julia,rosenbrock23_sciml,performance,adaptive,julia,both,524288,tol,1.0e-8,20,26.9115,27.017235,27.611649999999997,28.869545,28.9388
julia,rosenbrock23_sciml,performance,adaptive,julia,both,8,tol,1.0e-8,20,5.3423,5.342965,5.44045,5.670445000000001,6.0228
julia,rosenbrock23_sciml,performance,adaptive,julia,both,8192,tol,1.0e-8,20,1.8979,1.94749,2.0650500000000003,2.16527,2.2483
