framework,algorithm,phase,mode,tier,n,setting_kind,setting,golden_rmse,finite_trajectories,failed_trajectories,finals_path
julia,kvaerno5,numerical,fixed,fixed,1024,dt,0.0078125,4.331439942835378e-6,1024,0,finals/julia/kvaerno5/fixed_fixed_dt_0p0078125.csv
julia,kvaerno5,numerical,fixed,fixed,1024,dt,0.00390625,6.1303133802443e-6,1024,0,finals/julia/kvaerno5/fixed_fixed_dt_0p00390625.csv
julia,kvaerno5,numerical,fixed,fixed,1024,dt,0.001953125,8.612129186983324e-6,1024,0,finals/julia/kvaerno5/fixed_fixed_dt_0p001953125.csv
julia,kvaerno5,numerical,fixed,fixed,1024,dt,0.0009765625,1.2122639343451382e-5,1024,0,finals/julia/kvaerno5/fixed_fixed_dt_0p0009765625.csv
julia,kvaerno5,numerical,fixed,fixed,1024,dt,0.00048828125,1.625795108892436e-5,1024,0,finals/julia/kvaerno5/fixed_fixed_dt_0p00048828125.csv
julia,kvaerno5,numerical,fixed,fixed,1024,dt,0.000244140625,2.281766543521026e-5,1024,0,finals/julia/kvaerno5/fixed_fixed_dt_0p000244140625.csv
julia,kvaerno5,numerical,fixed,fixed,1024,dt,0.0001220703125,3.449526180218288e-5,1024,0,finals/julia/kvaerno5/fixed_fixed_dt_0p0001220703125.csv
julia,kvaerno5,numerical,adaptive,julia,1024,tol,0.010000000000000002,0.04918879189462959,1024,0,finals/julia/kvaerno5/adaptive_julia_tol_0p01.csv
julia,kvaerno5,numerical,adaptive,julia,1024,tol,0.001,0.013436550242100706,1024,0,finals/julia/kvaerno5/adaptive_julia_tol_0p001.csv
julia,kvaerno5,numerical,adaptive,julia,1024,tol,0.0001,0.0025152006577901717,1024,0,finals/julia/kvaerno5/adaptive_julia_tol_0p0001.csv
julia,kvaerno5,numerical,adaptive,julia,1024,tol,1.0e-5,0.0003065873086136485,1024,0,finals/julia/kvaerno5/adaptive_julia_tol_1em05.csv
julia,kvaerno5,numerical,adaptive,julia,1024,tol,1.0e-6,2.5629665361115364e-5,1024,0,finals/julia/kvaerno5/adaptive_julia_tol_1em06.csv
julia,kvaerno5,numerical,adaptive,julia,1024,tol,1.0000000000000001e-7,3.93208946448551e-6,1024,0,finals/julia/kvaerno5/adaptive_julia_tol_1em07.csv
julia,kvaerno5,numerical,adaptive,julia,1024,tol,1.0e-8,5.5817022285502736e-6,1024,0,finals/julia/kvaerno5/adaptive_julia_tol_1em08.csv
julia,kvaerno5,work_precision,fixed,fixed,131072,dt,0.0625,0.010266627731873179,131072,0,
julia,kvaerno5,work_precision,fixed,fixed,131072,dt,0.03125,0.00040960787549834514,131072,0,
julia,kvaerno5,work_precision,fixed,fixed,131072,dt,0.015625,1.3570638741429898e-5,131072,0,
julia,kvaerno5,work_precision,fixed,fixed,131072,dt,0.0078125,4.1772171715783415e-6,131072,0,
julia,kvaerno5,work_precision,fixed,fixed,131072,dt,0.00390625,5.862053354627473e-6,131072,0,
julia,kvaerno5,work_precision,fixed,fixed,131072,dt,0.001953125,8.27125684337353e-6,131072,0,
julia,kvaerno5,work_precision,fixed,fixed,131072,dt,0.0009765625,1.1730017526186328e-5,131072,0,
julia,kvaerno5,work_precision,fixed,fixed,131072,dt,0.00048828125,1.663504716325805e-5,131072,0,
julia,kvaerno5,work_precision,fixed,fixed,131072,dt,0.000244140625,2.30950661887668e-5,131072,0,
julia,kvaerno5,work_precision,fixed,fixed,131072,dt,0.0001220703125,3.3179637231768e-5,131072,0,
julia,kvaerno5,work_precision,adaptive,julia,131072,tol,0.010000000000000002,0.04913743213514242,131072,0,
julia,kvaerno5,work_precision,adaptive,julia,131072,tol,0.001,0.013423467649706571,131072,0,
julia,kvaerno5,work_precision,adaptive,julia,131072,tol,0.0001,0.0025134893627645656,131072,0,
julia,kvaerno5,work_precision,adaptive,julia,131072,tol,1.0e-5,0.0003063376312903947,131072,0,
julia,kvaerno5,work_precision,adaptive,julia,131072,tol,1.0e-6,2.5440119307295387e-5,131072,0,
julia,kvaerno5,work_precision,adaptive,julia,131072,tol,1.0000000000000001e-7,4.0362239537339654e-6,131072,0,
julia,kvaerno5,work_precision,adaptive,julia,131072,tol,1.0e-8,5.49011989526189e-6,131072,0,
