framework,algorithm,phase,mode,tier,n,setting_kind,setting,golden_rmse,finite_trajectories,failed_trajectories,finals_path
julia,vern7,performance,adaptive,julia,32768,tol,1.0e-8,,32768,0,
julia,vern7,performance,fixed,fixed,131072,dt,0.0009765625,,131072,0,
julia,vern7,performance,adaptive,julia,131072,tol,1.0e-8,,131072,0,
julia,vern7,performance,fixed,fixed,524288,dt,0.0009765625,,524288,0,
julia,vern7,performance,adaptive,julia,524288,tol,1.0e-8,,524288,0,
julia,vern7,performance,fixed,fixed,2097152,dt,0.0009765625,,2097152,0,
julia,vern7,performance,adaptive,julia,2097152,tol,1.0e-8,,2097152,0,
julia,vern7,performance,fixed,fixed,8388608,dt,0.0009765625,,8388608,0,
julia,vern7,performance,adaptive,julia,8388608,tol,1.0e-8,,8388608,0,
julia,vern7,numerical,adaptive,julia,1024,tol,0.010000000000000002,0.004145954061974647,1024,0,finals/julia/vern7/adaptive_julia_tol_0p01.csv
julia,vern7,numerical,adaptive,julia,1024,tol,0.001,0.00023918236180110768,1024,0,finals/julia/vern7/adaptive_julia_tol_0p001.csv
julia,vern7,numerical,adaptive,julia,1024,tol,0.0001,3.0138760112326964e-5,1024,0,finals/julia/vern7/adaptive_julia_tol_0p0001.csv
julia,vern7,numerical,adaptive,julia,1024,tol,1.0e-5,9.016036770570951e-6,1024,0,finals/julia/vern7/adaptive_julia_tol_1em05.csv
julia,vern7,numerical,adaptive,julia,1024,tol,1.0e-6,6.204487588877437e-6,1024,0,finals/julia/vern7/adaptive_julia_tol_1em06.csv
julia,vern7,numerical,adaptive,julia,1024,tol,1.0000000000000001e-7,3.5651741765866526e-6,1024,0,finals/julia/vern7/adaptive_julia_tol_1em07.csv
julia,vern7,numerical,adaptive,julia,1024,tol,1.0e-8,3.512589444922304e-6,1024,0,finals/julia/vern7/adaptive_julia_tol_1em08.csv
julia,vern7,work_precision,fixed,fixed,131072,dt,0.0625,7.109268639221766e-5,131072,0,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.03125,6.435939434299546e-6,131072,0,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.015625,3.4721346185497716e-6,131072,0,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.0078125,2.395225030852657e-6,131072,0,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.00390625,2.569948213345629e-6,131072,0,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.001953125,3.438379589703819e-6,131072,0,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.0009765625,4.812111447431685e-6,131072,0,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.00048828125,6.796113471271297e-6,131072,0,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.000244140625,9.59935967846523e-6,131072,0,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.0001220703125,1.340612203093985e-5,131072,0,
julia,vern7,work_precision,adaptive,julia,131072,tol,0.010000000000000002,0.004099499918859589,131072,0,
julia,vern7,work_precision,adaptive,julia,131072,tol,0.001,0.000244044636191951,131072,0,
julia,vern7,work_precision,adaptive,julia,131072,tol,0.0001,3.055523220538607e-5,131072,0,
julia,vern7,work_precision,adaptive,julia,131072,tol,1.0e-5,9.096852423814719e-6,131072,0,
julia,vern7,work_precision,adaptive,julia,131072,tol,1.0e-6,6.20052342682071e-6,131072,0,
julia,vern7,work_precision,adaptive,julia,131072,tol,1.0000000000000001e-7,3.599850345526329e-6,131072,0,
julia,vern7,work_precision,adaptive,julia,131072,tol,1.0e-8,3.5921031568047396e-6,131072,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,8,dt,0.0009765625,,8,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,8,tol,1.0e-8,,8,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,32,dt,0.0009765625,,32,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,32,tol,1.0e-8,,32,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,128,dt,0.0009765625,,128,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,128,tol,1.0e-8,,128,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,512,dt,0.0009765625,,512,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,512,tol,1.0e-8,,512,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,2048,dt,0.0009765625,,2048,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,2048,tol,1.0e-8,,2048,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,8192,dt,0.0009765625,,8192,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,8192,tol,1.0e-8,,8192,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,32768,dt,0.0009765625,,32768,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,32768,tol,1.0e-8,,32768,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,131072,dt,0.0009765625,,131072,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,131072,tol,1.0e-8,,131072,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,524288,dt,0.0009765625,,524288,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,524288,tol,1.0e-8,,524288,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,2097152,dt,0.0009765625,,2097152,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,2097152,tol,1.0e-8,,2097152,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,8388608,dt,0.0009765625,,8388608,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,8388608,tol,1.0e-8,,8388608,0,
julia,rosenbrock23_sciml,numerical,fixed,fixed,1024,dt,0.5,3.9650979348871796e6,1024,0,finals/julia/rosenbrock23_sciml/fixed_fixed_dt_0p5.csv
julia,rosenbrock23_sciml,numerical,fixed,fixed,1024,dt,0.25,1.1290712822029561e8,1024,0,finals/julia/rosenbrock23_sciml/fixed_fixed_dt_0p25.csv
julia,rosenbrock23_sciml,numerical,fixed,fixed,1024,dt,0.125,0.26126446643023754,1024,0,finals/julia/rosenbrock23_sciml/fixed_fixed_dt_0p125.csv
julia,rosenbrock23_sciml,numerical,fixed,fixed,1024,dt,0.0625,0.040869034940292745,1024,0,finals/julia/rosenbrock23_sciml/fixed_fixed_dt_0p0625.csv
julia,rosenbrock23_sciml,numerical,fixed,fixed,1024,dt,0.03125,0.011664364960187378,1024,0,finals/julia/rosenbrock23_sciml/fixed_fixed_dt_0p03125.csv
julia,rosenbrock23_sciml,numerical,fixed,fixed,1024,dt,0.015625,0.0030400986766232316,1024,0,finals/julia/rosenbrock23_sciml/fixed_fixed_dt_0p015625.csv
julia,rosenbrock23_sciml,numerical,fixed,fixed,1024,dt,0.0078125,0.0007893570695414444,1024,0,finals/julia/rosenbrock23_sciml/fixed_fixed_dt_0p0078125.csv
julia,rosenbrock23_sciml,numerical,fixed,fixed,1024,dt,0.00390625,0.00020215110190668464,1024,0,finals/julia/rosenbrock23_sciml/fixed_fixed_dt_0p00390625.csv
julia,rosenbrock23_sciml,numerical,fixed,fixed,1024,dt,0.001953125,5.091482961978262e-5,1024,0,finals/julia/rosenbrock23_sciml/fixed_fixed_dt_0p001953125.csv
julia,rosenbrock23_sciml,numerical,fixed,fixed,1024,dt,0.0009765625,1.3547166681784092e-5,1024,0,finals/julia/rosenbrock23_sciml/fixed_fixed_dt_0p0009765625.csv
julia,rosenbrock23_sciml,numerical,fixed,fixed,1024,dt,0.00048828125,7.1149046140977165e-6,1024,0,finals/julia/rosenbrock23_sciml/fixed_fixed_dt_0p00048828125.csv
