framework,algorithm,phase,mode,tier,n,setting_kind,setting,sample,time_ms
julia,tsit5,performance,adaptive,julia,32,tol,1.0e-8,15,0.303589
julia,tsit5,performance,adaptive,julia,32,tol,1.0e-8,16,0.303539
julia,tsit5,performance,adaptive,julia,32,tol,1.0e-8,17,0.303485
julia,tsit5,performance,adaptive,julia,32,tol,1.0e-8,18,0.303242
julia,tsit5,performance,adaptive,julia,32,tol,1.0e-8,19,0.303153
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,0,0.41827
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,1,0.425934
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,2,0.460404
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,3,0.466917
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,4,0.467213
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,5,0.471133
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,6,0.467334
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,7,0.46981
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,8,0.430473
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,9,0.421437
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,10,0.4207
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,11,0.45732
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,12,0.466254
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,13,1.211393
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,14,1.542457
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,15,0.473765
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,16,0.618795
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,17,0.466617
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,18,1.479749
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,19,0.604155
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,0,0.374152
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,1,0.337285
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,2,0.364715
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,3,0.373067
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,4,0.374182
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,5,0.374354
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,6,0.337178
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,7,0.327233
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,8,0.366477
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,9,0.341223
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,10,0.367648
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,11,0.371827
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,12,0.374443
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,13,0.336571
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,14,0.329211
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,15,0.367293
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,16,0.334121
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,17,0.372683
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,18,0.375162
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,19,0.374891
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,0,0.472899
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,1,0.470071
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,2,0.468859
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,3,0.468987
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,4,0.433326
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,5,0.4258
