framework,algorithm,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms,golden_rmse,finite_trajectories,failed_trajectories
julia,kvaerno5,fixed,fixed,none,32768,dt,0.000244140625,20,80.60145,80.61832390000001,80.741738,80.81002330000001,80.814133,2.3017561775950523e-5,32768,0
julia,kvaerno5,fixed,fixed,none,32768,dt,0.00048828125,20,40.038153,40.06165505,40.119588,40.16611995,40.182269,1.6661017483367478e-5,32768,0
julia,kvaerno5,fixed,fixed,none,32768,dt,0.0009765625,20,19.641354,19.6844821,19.7235415,19.747541599999998,19.748598,1.173593428500673e-5,32768,0
julia,kvaerno5,fixed,fixed,none,32768,dt,0.001953125,20,9.533908,9.5425853,9.574284,9.861435700000001,9.868897,8.303489690103305e-6,32768,0
julia,kvaerno5,fixed,fixed,none,32768,dt,0.00390625,20,4.810634,4.8132313,4.8307675,4.85068345,4.856449,5.835656642898498e-6,32768,0
julia,kvaerno5,fixed,fixed,none,32768,dt,0.0078125,20,2.330833,2.33832185,2.380949,2.40621515,2.411348,4.143358902341594e-6,32768,0
julia,kvaerno5,fixed,fixed,none,32768,dt,0.015625,20,1.201732,1.226812,1.23844,1.2484792,1.316864,1.3580039668654844e-5,32768,0
julia,kvaerno5,fixed,fixed,none,32768,dt,0.03125,20,0.654581,0.65971385,0.696466,0.70607825,0.714937,0.00040964270626083757,32768,0
julia,kvaerno5,fixed,fixed,none,32768,dt,0.0625,20,0.393114,0.39872185,0.435343,0.4846912,0.49049,0.01026712150389275,32768,0
julia,rosenbrock23_sciml,adaptive,julia,both,32768,tol,0.0001,20,0.706268,0.7075495500000001,0.7478155,0.7583266000000001,0.769719,0.0032749869658775465,32768,0
julia,rosenbrock23_sciml,adaptive,julia,both,32768,tol,0.001,20,0.504198,0.5048307,0.5138020000000001,0.55402745,0.555936,0.015165807271030259,32768,0
julia,rosenbrock23_sciml,adaptive,julia,both,32768,tol,0.010000000000000002,20,0.409736,0.41199795,0.42414450000000004,0.47909730000000006,0.512657,0.05287026333009031,32768,0
julia,rosenbrock23_sciml,adaptive,julia,both,32768,tol,1.0000000000000001e-7,20,4.117115,4.14927725,4.1621185,4.1813666,4.191296,2.920703544011409e-5,32768,0
julia,rosenbrock23_sciml,adaptive,julia,both,32768,tol,1.0e-5,20,1.144321,1.1469696,1.191833,1.2155615499999999,1.233831,0.0006556803462469571,32768,0
julia,rosenbrock23_sciml,adaptive,julia,both,32768,tol,1.0e-6,20,2.131375,2.1319697,2.1411945,2.16580345,2.166724,0.0001350640155447247,32768,0
julia,rosenbrock23_sciml,adaptive,julia,both,32768,tol,1.0e-8,20,8.551247,8.55909685,8.568746,8.5886852,8.600754,1.1833824175913369e-5,32768,0
julia,rosenbrock23_sciml,adaptive,julia,none,32768,tol,0.0001,20,0.440924,0.44118999999999997,0.482135,0.48672975,0.495902,0.0032749869658775465,32768,0
julia,rosenbrock23_sciml,adaptive,julia,none,32768,tol,0.001,20,0.239185,0.24066510000000002,0.2769785,0.28389565,0.284022,0.015165807271030259,32768,0
julia,rosenbrock23_sciml,adaptive,julia,none,32768,tol,0.010000000000000002,20,0.142408,0.14287445,0.145493,0.15212399999999998,0.152542,0.05287026333009031,32768,0
julia,rosenbrock23_sciml,adaptive,julia,none,32768,tol,1.0000000000000001e-7,20,3.884506,3.8853971,3.8964615,3.90375705,3.906912,2.920703544011409e-5,32768,0
julia,rosenbrock23_sciml,adaptive,julia,none,32768,tol,1.0e-5,20,0.875494,0.8774491,0.91852,0.9278403500000001,0.947037,0.0006556803462469571,32768,0
julia,rosenbrock23_sciml,adaptive,julia,none,32768,tol,1.0e-6,20,1.86303,1.86600635,1.8732795,1.87527595,1.880348,0.0001350640155447247,32768,0
julia,rosenbrock23_sciml,adaptive,julia,none,32768,tol,1.0e-8,20,8.273527,8.2816438,8.2943325,8.303025,8.305856,1.1833824175913369e-5,32768,0
julia,rosenbrock23_sciml,fixed,fixed,both,32768,dt,0.0001220703125,20,16.376362,16.3801107,16.393104,16.41387085,16.428023,1.33410929878779e-5,32768,0
julia,rosenbrock23_sciml,fixed,fixed,both,32768,dt,0.000244140625,20,8.368397,8.3753757,8.384325,8.399862800000001,8.402443,9.626815039253426e-6,32768,0
julia,rosenbrock23_sciml,fixed,fixed,both,32768,dt,0.00048828125,20,4.369395,4.3709796,4.3795095,4.435022150000001,5.388426,7.4661490152985656e-6,32768,0
julia,rosenbrock23_sciml,fixed,fixed,both,32768,dt,0.0009765625,20,2.373171,2.37461595,2.395363,2.43098905,2.434638,1.3580723247664929e-5,32768,0
julia,rosenbrock23_sciml,fixed,fixed,both,32768,dt,0.001953125,20,1.364141,1.3673643500000001,1.3793600000000001,1.4219765500000001,1.424533,5.1207271864079506e-5,32768,0
julia,rosenbrock23_sciml,fixed,fixed,both,32768,dt,0.00390625,20,0.821147,0.8222319,0.8619245,0.86657275,0.870634,0.00020204050397693886,32768,0
julia,rosenbrock23_sciml,fixed,fixed,both,32768,dt,0.0078125,20,0.561998,0.56272665,0.6051275,0.6280295,0.661308,0.0007892044646736068,32768,0
julia,rosenbrock23_sciml,fixed,fixed,both,32768,dt,0.015625,20,0.433991,0.43486975,0.4396185,0.45391795,0.467217,0.0030392101904315088,32768,0
julia,rosenbrock23_sciml,fixed,fixed,both,32768,dt,0.03125,20,0.356931,0.35915115,0.36570400000000003,0.37151700000000004,0.37355,0.011656711774679382,32768,0
julia,rosenbrock23_sciml,fixed,fixed,both,32768,dt,0.0625,20,0.328465,0.3287595,0.336653,0.33943185,0.340436,0.04084395643497995,32768,0
julia,rosenbrock23_sciml,fixed,fixed,none,32768,dt,0.0001220703125,20,16.108851,16.113477500000002,16.121056000000003,16.1258947,16.126858,1.33410929878779e-5,32768,0
julia,rosenbrock23_sciml,fixed,fixed,none,32768,dt,0.000244140625,20,8.102906,8.109214,8.1148395,8.1192567,8.12022,9.626815039253426e-6,32768,0
julia,rosenbrock23_sciml,fixed,fixed,none,32768,dt,0.00048828125,20,4.100557,4.104053,4.109522,4.11250985,4.115281,7.4661490152985656e-6,32768,0
julia,rosenbrock23_sciml,fixed,fixed,none,32768,dt,0.0009765625,20,2.1047,2.1051845,2.125447,2.1300993999999998,2.132843,1.3580723247664929e-5,32768,0
julia,rosenbrock23_sciml,fixed,fixed,none,32768,dt,0.001953125,20,1.070459,1.0954553999999999,1.1047815,1.11592095,1.1163,5.1207271864079506e-5,32768,0
julia,rosenbrock23_sciml,fixed,fixed,none,32768,dt,0.00390625,20,0.559825,0.56070565,0.594192,0.59953025,0.604361,0.00020204050397693886,32768,0
julia,rosenbrock23_sciml,fixed,fixed,none,32768,dt,0.0078125,20,0.29752,0.29894404999999996,0.321357,0.34304334999999997,0.349548,0.0007892044646736068,32768,0
julia,rosenbrock23_sciml,fixed,fixed,none,32768,dt,0.015625,20,0.163806,0.1651607,0.21394950000000001,0.22571945000000002,0.24811,0.0030392101904315088,32768,0
julia,rosenbrock23_sciml,fixed,fixed,none,32768,dt,0.03125,20,0.098862,0.0992781,0.10084850000000001,0.11348340000000004,0.160744,0.011656711774679382,32768,0
julia,rosenbrock23_sciml,fixed,fixed,none,32768,dt,0.0625,20,0.068361,0.06838475000000001,0.069552,0.07612525000000006,0.15308,0.04084395643497995,32768,0
julia,tsit5,adaptive,julia,both,32768,tol,0.0001,20,0.441963,0.4432721,0.448503,0.476413,0.479092,0.0009208827574708334,32768,0
julia,tsit5,adaptive,julia,both,32768,tol,0.001,20,0.409108,0.41082464999999996,0.42873399999999995,0.45970174999999996,0.460191,0.007214919996796392,32768,0
julia,tsit5,adaptive,julia,both,32768,tol,0.010000000000000002,20,0.39546,0.3981162,0.431686,1.632807850000002,4.406159,0.05976581980275581,32768,0
julia,tsit5,adaptive,julia,both,32768,tol,1.0000000000000001e-7,20,0.725884,0.7307565500000001,0.7650494999999999,0.7779962500000001,0.77916,2.515434385502434e-6,32768,0
julia,tsit5,adaptive,julia,both,32768,tol,1.0e-5,20,0.495687,0.4971766,0.5099405,0.54407795,0.544913,6.107381594464332e-5,32768,0
julia,tsit5,adaptive,julia,both,32768,tol,1.0e-6,20,0.579369,0.58353475,0.625626,0.65384525,0.660291,3.863783154045861e-6,32768,0
julia,tsit5,adaptive,julia,both,32768,tol,1.0e-8,20,1.396744,1.41480825,1.431981,1.4671402500000001,1.504461,3.247922143942578e-6,32768,0
julia,tsit5,adaptive,julia,none,32768,tol,0.0001,20,0.179291,0.17985245,0.2155605,0.22233665,0.223945,0.0009208827574708334,32768,0
julia,tsit5,adaptive,julia,none,32768,tol,0.001,20,0.1414,0.1416166,0.14320349999999998,0.14891505000000002,0.149144,0.007214919996796392,32768,0
julia,tsit5,adaptive,julia,none,32768,tol,0.010000000000000002,20,0.119111,0.1193808,0.1215,0.12990945,0.129918,0.05976581980275581,32768,0
julia,tsit5,adaptive,julia,none,32768,tol,1.0000000000000001e-7,20,0.458403,0.45899105,0.49665499999999996,0.5064968,0.509837,2.515434385502434e-6,32768,0
julia,tsit5,adaptive,julia,none,32768,tol,1.0e-5,20,0.233266,0.23363555,0.26881,0.2718629,0.272127,6.107381594464332e-5,32768,0
julia,tsit5,adaptive,julia,none,32768,tol,1.0e-6,20,0.31732,0.3225241,0.35941049999999997,0.36172565,0.36417,3.863783154045861e-6,32768,0
julia,tsit5,adaptive,julia,none,32768,tol,1.0e-8,20,1.15404,1.155389,1.1660805,1.1773833500000002,1.182824,3.247922143942578e-6,32768,0
julia,tsit5,fixed,fixed,both,32768,dt,0.0001220703125,20,17.99163,17.9934388,18.012967,18.0359759,18.039603,1.3422491287140628e-5,32768,0
julia,tsit5,fixed,fixed,both,32768,dt,0.000244140625,20,9.178566,9.17892035,9.189613,9.2173204,9.221413,9.606165319974757e-6,32768,0
julia,tsit5,fixed,fixed,both,32768,dt,0.00048828125,20,4.76647,4.77090555,4.7944775,4.844221,4.849788,6.853174085970592e-6,32768,0
julia,tsit5,fixed,fixed,both,32768,dt,0.0009765625,20,2.588612,2.5886367,2.600362,2.628788,2.633766,4.841835903878789e-6,32768,0
julia,tsit5,fixed,fixed,both,32768,dt,0.001953125,20,1.466716,1.4679548,1.485994,1.51325565,1.519918,3.418124784048757e-6,32768,0
julia,tsit5,fixed,fixed,both,32768,dt,0.00390625,20,0.871811,0.87730675,0.9174260000000001,0.94253825,0.955862,2.477627173411974e-6,32768,0
julia,tsit5,fixed,fixed,both,32768,dt,0.0078125,20,0.593204,0.5934595500000001,0.6361805,0.6578878,0.675839,1.9841837551440524e-6,32768,0
julia,tsit5,fixed,fixed,both,32768,dt,0.015625,20,0.443278,0.4432837,0.44903150000000003,0.54830665,0.556926,2.4224012406179124e-6,32768,0
julia,tsit5,fixed,fixed,both,32768,dt,0.03125,20,0.577918,0.5780567,0.5863705,0.6465138500000001,0.653256,3.841758435857515e-5,32768,0
julia,tsit5,fixed,fixed,both,32768,dt,0.0625,20,0.546343,0.5464760000000001,0.5535175,0.6160952500000001,0.647146,0.004405417172015433,32768,0
julia,tsit5,fixed,fixed,none,32768,dt,0.0001220703125,20,17.714268,17.718234250000002,17.733717,17.741795550000003,17.7442,1.3422491287140628e-5,32768,0
julia,tsit5,fixed,fixed,none,32768,dt,0.000244140625,20,8.903439,8.9066823,8.9130375,8.9178687,8.917996,9.606165319974757e-6,32768,0
julia,tsit5,fixed,fixed,none,32768,dt,0.00048828125,20,4.506911,4.5071295,4.5129535,4.55651635,4.556561,6.853174085970592e-6,32768,0
julia,tsit5,fixed,fixed,none,32768,dt,0.0009765625,20,2.313815,2.3186448,2.327845,2.3317059500000004,2.334707,4.841835903878789e-6,32768,0
julia,tsit5,fixed,fixed,none,32768,dt,0.001953125,20,1.180902,1.183505,1.2066810000000001,1.2186227,1.218883,3.418124784048757e-6,32768,0
julia,tsit5,fixed,fixed,none,32768,dt,0.00390625,20,0.602997,0.6104241,0.645941,0.6514384,0.671662,2.477627173411974e-6,32768,0
julia,tsit5,fixed,fixed,none,32768,dt,0.0078125,20,0.32645,0.32669035,0.3675855,0.37407945,0.379712,1.9841837551440524e-6,32768,0
julia,tsit5,fixed,fixed,none,32768,dt,0.015625,20,0.180409,0.20831525,0.21333200000000002,0.25694305,0.257286,2.4224012406179124e-6,32768,0
julia,tsit5,fixed,fixed,none,32768,dt,0.03125,20,0.107548,0.1083099,0.10940549999999999,0.11051150000000001,0.112212,3.841758435857515e-5,32768,0
julia,tsit5,fixed,fixed,none,32768,dt,0.0625,20,0.073681,0.07391945,0.074577,0.07741680000000001,0.07766,0.004405417172015433,32768,0
julia,vern7,adaptive,julia,both,32768,tol,0.0001,20,0.623697,0.62492535,0.662165,0.6751776,0.694208,2.915283218933506e-5,32768,0
