traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
336,-1.66475129,-1.80853498,-1.25617492,-0.451971114,0.331446022,8.44728184,1.1819365,6.46740055,-2.09781814,0.914068282,6.74873161,-8.11310768,-2.55251098,9.61627102,-3.22823644,-3.96536803,-7.13909054,5.51655769,6.08331156,-6.94935846,0.16201365,13.7680845,1.48746145,-3.33916402,3.20150042,6.99659681,3.59987783,3.44192982,6.42774105,6.16255617,-2.44544768,-4.18070078
337,-1.66306567,-1.8088069,-1.25162268,-0.449489266,0.34453088,8.45707035,1.24005091,6.47757196,-2.06304574,0.941111207,6.74414539,-8.15001869,-2.57915974,9.62247658,-3.23755789,-3.89922118,-7.16828632,5.46298313,6.09727573,-6.97788668,0.121983565,13.7870655,1.44975352,-3.34766173,3.19371462,7.0284152,3.61151719,3.4508214,6.44954062,6.13446236,-2.50786781,-4.15780783
338,-1.66160858,-1.80904412,-1.24709105,-0.447009087,0.357627928,8.46686172,1.29794848,6.48718548,-2.02831554,0.968162298,6.73892593,-8.18745422,-2.60624003,9.62821865,-3.24572611,-3.83324361,-7.19663095,5.40957403,6.11118889,-7.00647688,0.0817182139,13.8056545,1.41260123,-3.35604882,3.18563747,7.06021833,3.62329483,3.45956755,6.47104025,6.10592461,-2.56972957,-4.1347084
339,-1.66038251,-1.80920482,-1.2425251,-0.444515705,0.370828301,8.47665691,1.35573494,6.49630976,-1.99340129,0.995361567,6.7330265,-8.2255373,-2.63385558,9.63352299,-3.25265622,-3.7672646,-7.22413635,5.35649538,6.1250391,-7.03496504,0.0413254797,13.8239975,1.37568521,-3.36397839,3.17733765,7.09202576,3.63530087,3.46841931,6.49253511,6.076653,-2.63133454,-4.11104679
340,-1.6593653,-1.80932653,-1.23796201,-0.442023098,0.384072751,8.48645115,1.41333604,6.50492477,-1.95844293,1.02261245,6.72647142,-8.26418781,-2.66196632,9.63836002,-3.25837255,-3.70135307,-7.25082207,5.30372477,6.13872337,-7.06347656,0.000636455778,13.8420076,1.33918786,-3.37159586,3.16883254,7.12388182,3.64732432,3.47711945,6.51383209,6.04690123,-2.69252157,-4.08707762
341,-1.65858603,-1.80940032,-1.23340201,-0.439534217,0.39736107,8.49626637,1.4708122,6.51303053,-1.92337632,1.04997337,6.71920681,-8.30348682,-2.6906302,9.64268589,-3.26283908,-3.63560796,-7.27667379,5.25120735,6.15243769,-7.09189844,-0.0400977135,13.8597736,1.30307412,-3.37878728,3.16014934,7.15564919,3.65949607,3.48586583,6.53502989,6.0165081,-2.75329423,-4.06271076
342,-1.65799916,-1.80941522,-1.22882473,-0.437033921,0.41070959,8.50607586,1.52804434,6.52065992,-1.88826382,1.07737458,6.71124172,-8.3433485,-2.71979618,9.64647675,-3.26610851,-3.57013011,-7.30173826,5.1988945,6.1661005,-7.12029171,-0.0810038745,13.8772411,1.26733458,-3.38561893,3.1512835,7.1874547,3.67170215,3.49453354,6.55612803,5.98556709,-2.81373787,-4.03792334
343,-1.65763044,-1.80938494,-1.22426236,-0.434533656,0.424075216,8.51590347,1.58505249,6.52779293,-1.85319769,1.10472989,6.7026825,-8.38366413,-2.74940777,9.64982605,-3.26818299,-3.50488067,-7.3260107,5.14706755,6.17954683,-7.14866924,-0.122143701,13.8943853,1.23204184,-3.39213896,3.14218855,7.21926641,3.6841011,3.50314379,6.57700014,5.95409679,-2.87362218,-4.01287556
344,-1.65747833,-1.80929852,-1.2196846,-0.432031125,0.437525839,8.52574062,1.64194882,6.53447676,-1.81787801,1.13229406,6.69326448,-8.42474651,-2.7796874,9.65253925,-3.26899457,-3.43986011,-7.34948444,5.09527349,6.1930728,-7.17707777,-0.163417861,13.9112091,1.19731164,-3.39849234,3.13285875,7.25093031,3.69673991,3.51189089,6.5978322,5.92190409,-2.93315244,-3.98735356
345,-1.65748894,-1.80916584,-1.2151078,-0.429521114,0.451036185,8.53559208,1.69865525,6.5407176,-1.78249002,1.15987444,6.68319225,-8.46630955,-2.81045246,9.65479279,-3.26861024,-3.37505412,-7.37217712,5.04394484,6.20638514,-7.20544434,-0.20493041,13.9277315,1.16282868,-3.40441012,3.12330461,7.28277683,3.70943856,3.52036262,6.61833715,5.88935089,-2.99213195,-3.96167469
346,-1.65770972,-1.80898166,-1.21052527,-0.427006513,0.464579403,8.54545403,1.75509322,6.54651833,-1.74711704,1.18742192,6.67245102,-8.50835991,-2.84171677,9.65649891,-3.26702404,-3.31063652,-7.39412117,4.9929328,6.21968555,-7.23371792,-0.246475518,13.9440336,1.12883937,-3.40986967,3.11368966,7.31442165,3.72211671,3.52893186,6.63887072,5.85609818,-3.05084538,-3.93552041
347,-1.65811288,-1.8087399,-1.20593619,-0.424487621,0.478202701,8.55533314,1.81142247,6.55188894,-1.71149695,1.21514857,6.66083431,-8.5511446,-2.87366557,9.65753746,-3.26417351,-3.24648762,-7.41531658,4.94203186,6.23290825,-7.26207304,-0.288314015,13.9599524,1.09526801,-3.41519547,3.10372901,7.34618521,3.73517275,3.53745651,6.65916061,5.82227755,-3.10900259,-3.90906715
348,-1.65869844,-1.8084569,-1.20135427,-0.421965599,0.491858631,8.56523514,1.86746728,6.55684805,-1.67590106,1.24281061,6.64858437,-8.59434891,-2.90608764,9.65807056,-3.26011491,-3.18275285,-7.43578768,4.89172935,6.24586582,-7.29037046,-0.330364674,13.9755983,1.06213737,-3.42008448,3.0936501,7.37791872,3.74823165,3.54588914,6.67929506,5.78797245,-3.16667986,-3.88234138
349,-1.6594584,-1.8081131,-1.19676685,-0.419436693,0.505558133,8.57515526,1.92330444,6.56138849,-1.6402179,1.270509,6.63555622,-8.63808727,-2.93907619,9.65797997,-3.25489378,-3.11943388,-7.45551777,4.84152031,6.25883627,-7.318748,-0.372585297,13.9908657,1.02959192,-3.42493773,3.08326125,7.40954304,3.76166153,3.55442595,6.69928455,5.75298214,-3.22389579,-3.85527039
350,-1.66037655,-1.80773914,-1.19219387,-0.416914195,0.519275427,8.58511448,1.97898579,6.56548977,-1.60446215,1.29824853,6.6217308,-8.68245506,-2.97271752,9.65719128,-3.24836946,-3.0566597,-7.4745698,4.79167366,6.27175808,-7.34694719,-0.414807707,14.0059681,0.997315049,-3.42907429,3.07287121,7.44120789,3.77487302,3.56271029,6.719069,5.71763706,-3.28061771,-3.82799387
351,-1.66148508,-1.80729091,-1.1875931,-0.414370626,0.533137321,8.59506321,2.03443027,6.56930733,-1.5684396,1.32606161,6.60714626,-8.72727299,-3.0068953,9.65590191,-3.24071336,-2.99411106,-7.49288654,4.74219418,6.28444958,-7.37531471,-0.457428068,14.0206423,0.965719938,-3.43327641,3.06214714,7.47277641,3.78859353,3.57122135,6.73876953,5.68147373,-3.33688331,-3.8003006
352,-1.66270983,-1.80680919,-1.18300259,-0.411829978,0.546981752,8.60506535,2.08965874,6.57267427,-1.53246427,1.35384822,6.5917592,-8.77268982,-3.04172254,9.6538229,-3.231776,-2.93225169,-7.51055717,4.69294405,6.29713488,-7.40355206,-0.500062943,14.0351019,0.934449434,-3.43688941,3.05137658,7.50437927,3.80210805,3.57945538,6.75826406,5.64496136,-3.39276528,-3.77240157
353,-1.66411257,-1.80628097,-1.17842615,-0.409287691,0.560869396,8.61509895,2.14472032,6.575665,-1.49637115,1.38165283,6.5755868,-8.81859398,-3.07713938,9.65110874,-3.22165775,-2.87081766,-7.52754831,4.64398623,6.30965233,-7.43189001,-0.543004632,14.0491724,0.903681934,-3.44041944,3.040272,7.53598595,3.81604242,3.58770394,6.77748871,5.60788155,-3.44795728,-3.74430466
354,-1.66564739,-1.80569029,-1.17383349,-0.406730771,0.574827969,8.62513924,2.19943047,6.57835627,-1.46021962,1.40939558,6.55869818,-8.8648653,-3.11306071,9.64780235,-3.21044922,-2.81001759,-7.54386473,4.59530973,6.32220316,-7.46018124,-0.585904777,14.0629816,0.873585641,-3.4436388,3.02912664,7.56742907,3.83001423,3.59598255,6.79663897,5.57022333,-3.502738,-3.7158854
355,-1.6673317,-1.80505252,-1.16924334,-0.404173791,0.588852406,8.63521576,2.25402045,6.58069658,-1.42383075,1.43725061,6.54087496,-8.91179943,-3.14973569,9.64368629,-3.19792295,-2.74975967,-7.55957031,4.54700661,6.33447266,-7.48850536,-0.629188478,14.076438,0.843744159,-3.44657493,3.01764178,7.59900856,3.84434366,3.60419345,6.81554079,5.53200436,-3.55694723,-3.68722248
356,-1.66913831,-1.80436242,-1.16465211,-0.401605338,0.602906883,8.64532852,2.30830908,6.58269787,-1.38745308,1.46502137,6.52230597,-8.95914459,-3.18697,9.63886929,-3.18425417,-2.69019127,-7.57464457,4.49896669,6.34672546,-7.51680756,-0.672514677,14.0896177,0.814529479,-3.44921064,3.00609088,7.63047409,3.85869336,3.61234689,6.8342824,5.49329948,-3.61066389,-3.6583457
357,-1.67110264,-1.80363739,-1.16007018,-0.399038553,0.617014468,8.6554718,2.36243391,6.58437204,-1.35093486,1.49277294,6.50296259,-9.00688839,-3.2247963,9.63340569,-3.16942906,-2.63114977,-7.58910275,4.45127201,6.35893726,-7.54502392,-0.715882003,14.1025944,0.785798073,-3.45135188,2.99452853,7.66179132,3.87299657,3.62049103,6.85292101,5.4539938,-3.66394925,-3.62919855
358,-1.67313147,-1.80285776,-1.15547585,-0.396460801,0.631203473,8.66564846,2.41631198,6.58577204,-1.31416595,1.52065074,6.48255444,-9.05538464,-3.26346302,9.62693596,-3.15327668,-2.57290173,-7.60301018,4.40381908,6.37079716,-7.57343149,-0.759806633,14.1150675,0.757572114,-3.45351028,2.98257351,7.6933279,3.8875649,3.62834859,6.8711853,5.41440821,-3.71665764,-3.59997916
