traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
159,-4.30149508,-1.90021706,-1.54581606,-1.01732755,-1.00699997,4.94139099,-1.57482159,-5.71723413,-4.29088306,3.75318885,2.53330278,-6.98822403,-0.474875182,6.2169776,6.2676897,-4.31918526,1.60886824,7.31004286,7.22821903,-0.507139564,2.66966367,7.08405113,6.65679836,2.08253288,2.42795229,3.06785655,2.20807862,1.86205828,2.61342835,4.24697495,5.49118662,0.938750923
160,-4.30848646,-1.88282299,-1.5492214,-1.0139643,-1.00500655,4.97387505,-1.64097154,-5.66887903,-4.34580755,3.67732549,2.56608462,-7.00341988,-0.491628051,6.24088001,6.23045397,-4.36383486,1.60793662,7.35423136,7.21605825,-0.546703458,2.67944026,7.12192726,6.66127014,2.05253458,2.42799997,3.07772231,2.2146008,1.86950266,2.62901998,4.27362633,5.49464035,0.878926337
161,-4.31482315,-1.86574805,-1.55256331,-1.01057994,-1.00302172,5.00621367,-1.70638847,-5.61886549,-4.39958,3.6013608,2.59910965,-7.01831293,-0.508204639,6.26458788,6.19278526,-4.40834761,1.60633504,7.3983016,7.20349455,-0.586505353,2.68909264,7.15995979,6.66553831,2.02226615,2.42805934,3.08761954,2.22121644,1.87705266,2.64475679,4.3003974,5.49755859,0.818762481
162,-4.32043219,-1.84902871,-1.55579507,-1.00714505,-1.00094044,5.03861761,-1.77143908,-5.56689596,-4.45239687,3.52500176,2.63262081,-7.03289509,-0.52458632,6.2882514,6.15449095,-4.4527936,1.60405707,7.44240427,7.19045401,-0.626409054,2.69878006,7.19822168,6.66931963,1.99182403,2.42837,3.09756398,2.22773266,1.88462687,2.66063571,4.32728004,5.49991512,0.758372486
163,-4.32548094,-1.83266878,-1.55896389,-1.00370967,-0.998899043,5.07078171,-1.8355639,-5.51346254,-4.50397968,3.44875932,2.66622353,-7.04716063,-0.540851474,6.31168985,6.11576223,-4.49709606,1.60109901,7.48641443,7.17697668,-0.666499674,2.70840621,7.2367177,6.67270708,1.96100152,2.42882037,3.10773826,2.23439407,1.89219356,2.67649007,4.35409164,5.50174189,0.697887778
164,-4.32986879,-1.81664646,-1.56204319,-1.00023758,-0.996783733,5.10296679,-1.89921629,-5.45812559,-4.55452108,3.37227011,2.70022774,-7.06108379,-0.55686903,6.33503962,6.07652044,-4.5412941,1.5974319,7.53027916,7.16315842,-0.706683755,2.71795845,7.27536821,6.67572355,1.92999649,2.42945147,3.1179924,2.24102235,1.89976609,2.69244576,4.38099813,5.5030241,0.63714391
165,-4.33357239,-1.80100214,-1.56503546,-0.996739924,-0.994630337,5.13503313,-1.96209478,-5.40117216,-4.60389948,3.29584026,2.73440647,-7.07468033,-0.572772026,6.3582449,6.03671122,-4.58537531,1.59305727,7.57417202,7.14873886,-0.747158945,2.72749448,7.31434584,6.6783042,1.89862072,2.43025851,3.12839508,2.24768353,1.90736938,2.70849991,4.40795612,5.50373507,0.576265633
166,-4.3366394,-1.78569949,-1.56790507,-0.993190229,-0.992352128,5.16724539,-2.02471089,-5.3420887,-4.65236568,3.21895957,2.76913762,-7.08794641,-0.588382006,6.38145065,5.99633169,-4.62933493,1.58795154,7.61794949,7.1338954,-0.787741303,2.73696756,7.35349464,6.68051147,1.86703157,2.4311738,3.13883495,2.25439119,1.91505408,2.7246604,4.43494415,5.50385523,0.515223086
167,-4.33903265,-1.77076244,-1.57070088,-0.989620149,-0.990060985,5.1992631,-2.08637524,-5.28156376,-4.69955921,3.14237928,2.80391264,-7.10085678,-0.603846729,6.40446663,5.95551968,-4.67314243,1.58211887,7.66156006,7.11870337,-0.828445494,2.74634767,7.39281225,6.68232489,1.83522487,2.4322896,3.14941978,2.26109672,1.92272103,2.74089122,4.46199369,5.50342417,0.454024404
168,-4.34084892,-1.75619543,-1.57341135,-0.986034214,-0.987733185,5.23123741,-2.14739919,-5.21925735,-4.7456398,3.06571698,2.83899522,-7.11340141,-0.61907655,6.42740536,5.91417885,-4.71683121,1.57554162,7.70502424,7.10310507,-0.869255066,2.75568032,7.43238115,6.68365145,1.80310667,2.43362832,3.16019487,2.26782441,1.93036091,2.75714231,4.48901463,5.50242996,0.392755777
