framework,algorithm,phase,mode,tier,n,setting_kind,setting,golden_rmse,finite_trajectories,failed_trajectories,finals_path
julia,vern7,numerical,adaptive,julia,1024,tol,1.0e-5,17.125870292604073,1024,0,finals/julia/vern7/adaptive_julia_tol_1em05.csv
julia,vern7,numerical,adaptive,julia,1024,tol,1.0e-6,0.11734791549582142,1024,0,finals/julia/vern7/adaptive_julia_tol_1em06.csv
julia,vern7,numerical,adaptive,julia,1024,tol,1.0000000000000001e-7,0.08181021728038133,1024,0,finals/julia/vern7/adaptive_julia_tol_1em07.csv
julia,vern7,numerical,adaptive,julia,1024,tol,1.0e-8,0.08182518872611397,1024,0,finals/julia/vern7/adaptive_julia_tol_1em08.csv
julia,vern7,work_precision,fixed,fixed,131072,dt,3.75,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,1.875,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.9375,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.46875,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.234375,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.1171875,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.05859375,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.029296875,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.0146484375,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.00732421875,,0,131072,
julia,vern7,work_precision,adaptive,julia,131072,tol,0.010000000000000002,,94797,36275,
julia,vern7,work_precision,adaptive,julia,131072,tol,0.001,,94797,36275,
julia,vern7,work_precision,adaptive,julia,131072,tol,0.0001,,16154,114918,
julia,vern7,work_precision,adaptive,julia,131072,tol,1.0e-5,,114918,16154,
julia,vern7,work_precision,adaptive,julia,131072,tol,1.0e-6,,94797,36275,
julia,vern7,work_precision,adaptive,julia,131072,tol,1.0000000000000001e-7,,55936,75136,
julia,vern7,work_precision,adaptive,julia,131072,tol,1.0e-8,,131069,3,
julia,rosenbrock23_sciml,performance,fixed,fixed,8,dt,0.05859375,,8,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,8,tol,1.0e-8,,8,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,32,dt,0.05859375,,32,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,32,tol,1.0e-8,,32,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,128,dt,0.05859375,,128,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,128,tol,1.0e-8,,128,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,512,dt,0.05859375,,512,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,512,tol,1.0e-8,,512,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,2048,dt,0.05859375,,2048,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,2048,tol,1.0e-8,,2048,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,8192,dt,0.05859375,,8192,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,8192,tol,1.0e-8,,8192,0,
