algorithm,phase,mode,cubie_tier,transfers,n,setting_kind,setting,cubie_min_ms,julia_min_ms,julia_over_cubie_speedup
rosenbrock23_sciml,work_precision,adaptive,pi,none,32768,tol,0.001,0.49864593893289566,0.228845,0.4589328461989066
rosenbrock23_sciml,work_precision,adaptive,pi,none,32768,tol,0.01,0.3946140641346574,0.133536,0.3383964539957005
rosenbrock23_sciml,work_precision,adaptive,pi,none,32768,tol,1e-05,1.2531679822131991,0.869881,0.6941455673514078
rosenbrock23_sciml,work_precision,adaptive,pi,none,32768,tol,1e-06,2.3728590458631516,1.861658,0.7845632479711002
rosenbrock23_sciml,work_precision,adaptive,pi,none,32768,tol,1e-07,4.79703804012388,3.869052,0.8065502019450496
rosenbrock23_sciml,work_precision,adaptive,pi,none,32768,tol,1e-08,9.997455053962767,8.281955,0.8284063249393873
rosenbrock23_sciml,work_precision,fixed,fixed,both,32768,dt,0.0001220703125,36.495680920779705,16.376001,0.4487106579966816
rosenbrock23_sciml,work_precision,fixed,fixed,both,32768,dt,0.000244140625,18.498871009796858,8.372073,0.452572105376929
rosenbrock23_sciml,work_precision,fixed,fixed,both,32768,dt,0.00048828125,9.519642917439342,4.574624,0.48054575572573194
rosenbrock23_sciml,work_precision,fixed,fixed,both,32768,dt,0.0009765625,5.135849001817405,2.368115,0.46109513717439965
rosenbrock23_sciml,work_precision,fixed,fixed,both,32768,dt,0.001953125,3.2364570070058107,1.320546,0.40802210477119716
rosenbrock23_sciml,work_precision,fixed,fixed,both,32768,dt,0.00390625,2.060011960566044,0.823515,0.39976224204723404
rosenbrock23_sciml,work_precision,fixed,fixed,both,32768,dt,0.0078125,1.2931780656799674,0.564062,0.4361827771208058
rosenbrock23_sciml,work_precision,fixed,fixed,both,32768,dt,0.015625,0.9061410091817379,0.431817,0.4765450361748209
rosenbrock23_sciml,work_precision,fixed,fixed,both,32768,dt,0.03125,0.7300740107893944,0.361453,0.4950909012761296
rosenbrock23_sciml,work_precision,fixed,fixed,both,32768,dt,0.0625,0.6324299611151218,0.32665,0.5164998815426766
