framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,sample,time_ms
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,11,0.6147169988253154
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,12,0.9370949992444366
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,12,0.61213799926918
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,13,0.9272710012737662
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,13,0.6156130039016716
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,14,0.9276339987991378
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,14,0.6124229985289276
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,15,0.9168379983748309
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,15,0.6115209980634972
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,16,0.9270920054404996
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,16,0.6176579991006292
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,17,0.926938999327831
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,17,0.6088529989938252
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,18,0.9205739988829009
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,18,0.6106549990363419
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,19,0.9229209972545505
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,19,0.6113569979788736
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,0,0.8528800026397221
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,0,0.47843300126260146
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,1,0.7773070028633811
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,1,0.47029800043674186
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,2,0.8002989998203702
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,2,0.4781030002050102
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,3,0.795573003415484
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,3,0.4700110002886504
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,4,0.7843220009817742
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,4,0.4709469940280542
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,5,0.7754799953545444
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,5,0.47067899868125096
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,6,0.7869740002206527
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,6,0.47507300041615963
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,7,0.7722500013187528
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,7,0.474259999464266
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,8,0.7784590052324347
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,8,0.4698819975601509
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,9,0.7761900051264092
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,9,0.478536996524781
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,10,0.7717900007264689
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,10,0.4699569981312379
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,11,0.7784699992043898
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,11,0.4724480022559874
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,12,0.769769998441916
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,12,0.47229800111381337
