traj,s1,s2,s3
238,3.23730278,3.86810088,1.77615666
239,3.27324009,3.90903687,1.81527269
240,3.30931807,3.94998646,1.85503316
241,3.3455286,3.99093413,1.8954407
242,3.38186979,4.03187037,1.93649936
243,3.41833067,4.07278013,1.97820961
244,3.45491099,4.113657,2.02058005
245,3.49159908,4.15448046,2.06360793
246,3.52839732,4.1952486,2.10730314
247,3.5652895,4.23593855,2.15165925
248,3.60227251,4.27654171,2.19668102
249,3.63934231,4.31704378,2.24237347
250,3.67648625,4.35742807,2.28872991
251,3.71370268,4.39768744,2.3357594
252,3.75098157,4.43780279,2.3834579
253,3.78831816,4.4777627,2.43183088
254,3.82570148,4.51755238,2.48087215
255,3.86312795,4.55715752,2.53058672
256,3.90058565,4.59656143,2.58096957
257,3.93806982,4.63575411,2.63202429
258,3.97556901,4.67471504,2.68374181
259,4.01307869,4.71343231,2.73612881
260,4.05058908,4.75189209,2.78917909
261,4.08809042,4.79007483,2.84289002
262,4.12557554,4.8279705,2.89726019
263,4.16303539,4.86556005,2.95228457
264,4.20046234,4.90283108,3.00796247
265,4.23784542,4.93976402,3.06428623
266,4.27517748,4.9763484,3.12125421
267,4.31244802,5.01256609,3.17886019
268,4.34964895,5.04840183,3.23710012
269,4.38677025,5.08383846,3.29596639
270,4.42379951,5.11886072,3.35545087
271,4.46073341,5.15345621,3.41555572
272,4.49755573,5.18760443,3.47626185
273,4.53426075,5.22129297,3.53756905
274,4.57083893,5.2545085,3.59947062
275,4.6072793,5.28723288,3.66195607
276,4.64357328,5.31945086,3.72501564
277,4.67970848,5.35114908,3.78864288
278,4.71567488,5.38230848,3.85282493
279,4.75146246,5.41291714,3.91755199
280,4.78706312,5.44296026,3.98281336
281,4.82246828,5.47242546,4.04860687
282,4.8576622,5.50129223,4.11490917
283,4.89263821,5.52955198,4.18171167
284,4.92738533,5.55718851,4.24900436
285,4.96189451,5.58418703,4.31677771
286,4.99615145,5.61053467,4.38501215
287,5.03014946,5.63621807,4.45369625
288,5.06387806,5.66122723,4.52281713
289,5.09732485,5.68554401,4.59235811
290,5.13048363,5.70916033,4.66230965
291,5.16333961,5.73206139,4.73265314
292,5.19588661,5.75423765,4.80337667
293,5.22811127,5.7756753,4.87445927
294,5.260005,5.79636431,4.94588757
295,5.29155827,5.81629419,5.01764536
296,5.32275963,5.83545351,5.08971405
297,5.35360003,5.85383224,5.16208076
298,5.38407326,5.8714242,5.23472738
299,5.41416264,5.88821459,5.30762911
300,5.44386101,5.90419769,5.38077307
301,5.4731636,5.91936731,5.45414495
302,5.50205803,5.93371248,5.52772474
303,5.53053188,5.94722605,5.60148764
304,5.55858278,5.95990419,5.67542315
305,5.58619404,5.97173595,5.74950314
