traj,s1,s2,s3
523,2.58478475,1.15321529,10.9959173
524,2.56399369,1.14260054,10.9860907
525,2.54332161,1.13210273,10.9762478
526,2.52276683,1.12171161,10.9663944
527,2.50230384,1.11142588,10.9564857
528,2.48196721,1.10124755,10.9465818
529,2.46175408,1.09117186,10.936676
530,2.44166946,1.08119571,10.9268007
531,2.42167568,1.07131934,10.9168644
532,2.40177608,1.06153595,10.9068851
533,2.38200903,1.05183744,10.8969603
534,2.36236787,1.04225028,10.8870277
535,2.34280753,1.03274679,10.8770418
536,2.32336736,1.02332318,10.8670816
537,2.30402541,1.01398611,10.8571033
538,2.28484273,1.00476134,10.8471718
539,2.26571155,0.995590627,10.8371716
540,2.24671078,0.986500859,10.8272228
541,2.22781706,0.977504492,10.8172407
542,2.20904708,0.968573987,10.807333
543,2.19036222,0.95973134,10.797348
544,2.1717701,0.950941026,10.787385
545,2.15330195,0.942246974,10.7774229
546,2.13491702,0.933599174,10.7674732
547,2.11664724,0.92502743,10.7575378
548,2.09848475,0.916523933,10.7476187
549,2.08043647,0.90808332,10.7377338
550,2.06246448,0.899707735,10.727808
551,2.04458427,0.89139092,10.7178726
552,2.0268302,0.883140862,10.7079954
553,2.0091567,0.874936283,10.6981192
554,1.9916029,0.866798162,10.6882877
555,1.9741019,0.858697653,10.6783886
556,1.95674622,0.850666642,10.6685963
557,1.93945754,0.842679739,10.6587648
558,1.92226291,0.83474493,10.6489439
559,1.9051671,0.82685405,10.6391602
560,1.88817787,0.819024146,10.6293888
561,1.87124503,0.811210394,10.6196289
562,1.85443211,0.803457797,10.6098995
563,1.83769357,0.795746863,10.6001635
564,1.82105076,0.788068116,10.5904789
565,1.80451071,0.780444145,10.580802
566,1.78803742,0.772843122,10.5711374
567,1.77167284,0.765292645,10.5615139
568,1.75536847,0.757766545,10.5518742
569,1.73916888,0.750280261,10.5422869
570,1.7230314,0.742797315,10.5327425
571,1.70700204,0.735381603,10.5231857
572,1.69104493,0.72797972,10.513669
573,1.67515361,0.720600843,10.5041428
574,1.65937042,0.713254631,10.4947004
575,1.64364254,0.705926001,10.4852324
576,1.62800312,0.698628306,10.4758043
577,1.61243749,0.691352308,10.4663887
578,1.59696317,0.684085548,10.4570646
579,1.58154631,0.676850319,10.4476967
580,1.56620884,0.669628084,10.4383764
581,1.55095959,0.662433326,10.4290905
582,1.5357691,0.655236125,10.4198389
583,1.52065432,0.648062527,10.4106092
584,1.50561166,0.64091593,10.4013748
585,1.49063873,0.633755744,10.3922272
586,1.4757452,0.626628935,10.3830776
587,1.46089745,0.619495869,10.3739471
588,1.44614053,0.612380326,10.3648729
589,1.43143821,0.605266094,10.3558216
590,1.41679907,0.598164916,10.3467703
591,1.40224361,0.591067553,10.337801
592,1.3877306,0.58396697,10.3288279
593,1.37329936,0.576890886,10.3198862
594,1.3589257,0.5697999,10.310997
595,1.34460425,0.562705398,10.3021202
596,1.33033597,0.555608213,10.2932796
597,1.31615031,0.548517406,10.2844925
598,1.30202067,0.54142487,10.2757435
599,1.28794515,0.534335315,10.2669964
600,1.27393532,0.527237773,10.2583199
601,1.25996339,0.520131826,10.2496243
602,1.24605203,0.513014257,10.2409945
603,1.23219693,0.505896568,10.2323818
604,1.2183882,0.498758435,10.2238245
605,1.20464694,0.491623104,10.2153053
606,1.19096386,0.484485596,10.2068148
607,1.1773051,0.477319032,10.198328
