traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
605,-4.5058322,7.80747223,0.621546566,2.09263134,7.50767517,9.21018124,5.08826494,9.19040012,1.22343993,-4.94404316,11.0564861,-7.69801521,5.65538073,-8.03356266,2.15514541,1.2462647,-1.84006453,8.6679821,-4.11351824,-6.54349327
606,-4.55230188,7.79511118,0.663693249,2.09861875,7.52979183,9.15301991,5.02885771,9.21848106,1.24867415,-4.9604454,11.1734123,-7.54933023,5.76872349,-8.00629711,2.18432403,1.23686206,-1.85566735,8.67393398,-4.11475372,-6.52159977
607,-4.59810019,7.78295231,0.705541193,2.10472512,7.55171204,9.094244,4.96811914,9.24654102,1.27660036,-4.97546434,11.2898464,-7.39843655,5.87925529,-7.97960377,2.21390343,1.22710502,-1.87184513,8.67912579,-4.11475611,-6.50075531
608,-4.6440773,7.77012348,0.747971058,2.11080956,7.57329369,9.03377151,4.90606594,9.27476311,1.30773282,-4.9887805,11.4057379,-7.24598503,5.98715067,-7.95295,2.24429917,1.21778941,-1.88772559,8.68468571,-4.11520815,-6.47922802
609,-4.68983936,7.75672388,0.790688932,2.11683559,7.5944643,8.97279072,4.84372091,9.30235863,1.34078562,-5.00033855,11.5202942,-7.092484,6.09193516,-7.9267664,2.27533841,1.20852721,-1.90374887,8.69036388,-4.11562586,-6.45748711
610,-4.73478222,7.74365044,0.832923591,2.12300396,7.61540461,8.91118431,4.78101826,9.32933331,1.37563622,-5.01018238,11.6332684,-6.9380641,6.19376898,-7.90120029,2.30655837,1.19899642,-1.92028892,8.69521523,-4.11472607,-6.437006
611,-4.78001118,7.72970152,0.875935793,2.12913346,7.63599062,8.84811115,4.71719074,9.35620022,1.41356409,-5.01819801,11.7454157,-6.78250551,6.29286289,-7.87591267,2.33854866,1.18979561,-1.93667138,8.70067406,-4.1143918,-6.41553259
612,-4.82510757,7.71540022,0.919241428,2.13529277,7.65629196,8.782197,4.65089846,9.38344669,1.45604432,-5.02454519,11.8580017,-6.62457752,6.38912344,-7.85126495,2.371068,1.18062806,-1.95312762,8.70597458,-4.11382484,-6.3940959
613,-4.86960697,7.70105028,0.962374985,2.14152741,7.67629957,8.71598434,4.58450747,9.40973473,1.50009704,-5.02905989,11.9687777,-6.46603346,6.48223257,-7.82745361,2.40377951,1.17110276,-1.97015882,8.71080208,-4.11231518,-6.37339783
614,-4.91380167,7.68639421,1.00554836,2.14778233,7.69593143,8.64929008,4.51792812,9.4352684,1.54629254,-5.031497,12.0778923,-6.30742502,6.57248545,-7.80398369,2.43697262,1.16179943,-1.98718417,8.71550465,-4.11056662,-6.35286474
615,-4.95786095,7.67126226,1.04904521,2.15403605,7.71521235,8.58049393,4.44960022,9.46068287,1.59657526,-5.03188086,12.186717,-6.14765596,6.65985203,-7.78103304,2.47077227,1.15268207,-2.00422597,8.72026348,-4.10877466,-6.33217382
616,-5.00181723,7.65572357,1.09293175,2.16036892,7.73425531,8.50954533,4.37942743,9.48580933,1.65065479,-5.03038931,12.2950087,-5.98644495,6.74408102,-7.75920916,2.50474548,1.14329469,-2.02163529,8.72493172,-4.10657978,-6.3114872
617,-5.04559755,7.63972998,1.13706398,2.16671014,7.75291586,8.43708992,4.30810118,9.51043129,1.70837057,-5.02655888,12.4023733,-5.8249836,6.82555628,-7.73775816,2.53933096,1.13424337,-2.03893209,8.72973347,-4.10441971,-6.2905817
618,-5.08889103,7.62361813,1.18100667,2.17310572,7.77120161,8.36442184,4.23678637,9.53385258,1.76778698,-5.02067852,12.5078163,-5.6635375,6.90406466,-7.71717501,2.57394791,1.1248585,-2.05671024,8.73403263,-4.10146713,-6.2704134
