framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
julia,tsit5,work_precision,fixed,fixed,both,131072,dt,0.015625,20,23.1073,23.19147,23.478,26.624785000000035,72.3385
julia,tsit5,work_precision,fixed,fixed,none,131072,dt,0.015625,20,18.6801,18.682949999999998,18.798650000000002,19.077440000000003,19.2853
julia,tsit5,work_precision,fixed,fixed,both,131072,dt,0.0078125,20,40.7889,41.41685,41.71215,77.550205,85.7317
julia,tsit5,work_precision,fixed,fixed,none,131072,dt,0.0078125,20,36.775,36.811195000000005,37.01735,37.330055,37.4166
julia,tsit5,work_precision,fixed,fixed,both,131072,dt,0.00390625,20,77.6259,77.679195,78.20445,78.942265,79.4888
julia,tsit5,work_precision,fixed,fixed,none,131072,dt,0.00390625,20,73.1316,73.21738500000001,73.56005,73.75034500000001,73.8272
julia,tsit5,work_precision,fixed,fixed,both,131072,dt,0.001953125,10,149.9667,150.390555,151.2783,152.37506000000002,152.5142
julia,tsit5,work_precision,fixed,fixed,none,131072,dt,0.001953125,10,145.5493,145.59277,146.38085,146.58094499999999,146.6187
julia,tsit5,work_precision,fixed,fixed,both,131072,dt,0.0009765625,10,296.3923,296.54782,297.18179999999995,297.76925000000006,297.8201
julia,tsit5,work_precision,fixed,fixed,none,131072,dt,0.0009765625,10,291.9322,292.05784000000006,292.3224,292.64630999999997,292.8012
julia,tsit5,work_precision,fixed,fixed,both,131072,dt,0.00048828125,10,588.0071,588.07577,589.0052499999999,590.91931,592.1227
julia,tsit5,work_precision,fixed,fixed,none,131072,dt,0.00048828125,10,583.7735,583.77989,583.98945,585.00025,585.6397
julia,tsit5,work_precision,fixed,fixed,both,131072,dt,0.000244140625,10,1172.2964,1172.313005,1172.6695,1175.1352000000002,1175.6599
julia,tsit5,work_precision,fixed,fixed,none,131072,dt,0.000244140625,10,1167.2588,1167.419495,1168.28075,1169.38285,1169.6659
julia,tsit5,work_precision,fixed,fixed,both,131072,dt,0.0001220703125,10,2338.2967,2338.4685099999997,2339.54225,2341.3258349999996,2341.6344
julia,tsit5,work_precision,fixed,fixed,none,131072,dt,0.0001220703125,10,2333.815,2334.0656050000002,2334.8836499999998,2337.42609,2338.4088
julia,tsit5,work_precision,adaptive,julia,both,131072,tol,0.010000000000000002,20,23.9856,24.03747,24.6687,73.18628500000001,78.3901
julia,tsit5,work_precision,adaptive,julia,none,131072,tol,0.010000000000000002,20,19.6763,19.739379999999997,19.9249,20.207105,20.2794
julia,tsit5,work_precision,adaptive,julia,both,131072,tol,0.001,20,28.9043,28.969185,29.58615,73.91246,73.9592
