package,key,analysis,problem,algorithm,mode,setting_kind,setting,n,states,tier,transfers,min_ms,median_ms,p05_ms,p95_ms,max_ms,samples,errored_pct,error,build_s,recorded_utc
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,524288,3,default,both,5.0232,6.0849,5.210445,9.736265,14.9283,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,524288,3,default,none,0.7081,1.30545,0.721115,2.041045,2.1597,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,2097152,3,default,both,21.6405,29.1262,22.3872,32.9028,33.127,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,2097152,3,default,none,4.3107,4.54625,4.419665,4.79874,5.5139,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,8388608,3,default,both,89.4436,108.41275,89.82052,126.266215,127.7491,10,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,8388608,3,default,none,14.3126,15.24445,14.382995,121.60247,152.5985,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,8,3,default,both,1.7378,1.85045,1.739415,1.946075,2.4548,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,8,3,default,none,1.6906,1.7405,1.69687,1.863035,1.8998,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,32,3,default,both,1.5771,1.64355,1.579,1.72932,1.819,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,32,3,default,none,1.5204,1.5911,1.52933,1.7077,1.7153,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,128,3,default,both,1.5958,1.6428,1.605585,1.84808,2.0586,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,128,3,default,none,1.5166,1.5433,1.52325,1.61744,1.6353,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,512,3,default,both,1.7054,1.76215,1.72288,1.873595,2.5708,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,512,3,default,none,1.6302,1.6921,1.63476,1.915415,2.0221,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,2048,3,default,both,1.7699,1.8088,1.775505,1.89777,1.9143,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,2048,3,default,none,1.7019,1.76365,1.71102,2.081445,2.1887,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,8192,3,default,both,2.0706,2.10735,2.07136,2.19198,2.64,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,8192,3,default,none,1.8666,1.93635,1.87819,2.0903,2.096,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,32768,3,default,both,2.8278,2.9769,2.84053,3.18289,4.108,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,32768,3,default,none,2.3659,2.42905,2.37065,2.64466,2.9916,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,131072,3,default,both,6.5427,6.6847,6.559325,7.904165,7.9738,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,131072,3,default,none,5.2329,5.2803,5.24202,6.328275,6.571,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,524288,3,default,both,23.8946,25.1533,24.000335,38.214305,43.1164,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,524288,3,default,none,18.6943,19.8898,18.856465,22.02818,37.6458,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,2097152,3,default,both,91.5988,93.0126,91.73085,97.51217,98.2697,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,2097152,3,default,none,74.9786,75.53225,75.0033,76.714535,77.1408,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,8388608,3,default,both,363.4423,370.0827,364.478065,374.955825,375.8826,10,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,fixed,dt,0.0009765625,8388608,3,default,none,297.2032,300.3356,298.290715,303.094085,304.6001,10,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,fixed,dt,0.0009765625,8,3,default,both,0.7319,0.7938,0.743965,0.965585,0.9843,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,fixed,dt,0.0009765625,8,3,default,none,0.6862,0.7408,0.695985,0.80081,0.801,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,fixed,dt,0.0009765625,32,3,default,both,2.2507,2.3208,2.250985,2.95644,3.0807,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,fixed,dt,0.0009765625,32,3,default,none,2.1733,2.23005,2.17425,2.354385,2.3978,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,fixed,dt,0.0009765625,128,3,default,both,1.6692,1.7904,1.701405,2.102305,2.2316,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,fixed,dt,0.0009765625,128,3,default,none,1.6281,1.67715,1.631425,1.794155,1.8142,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,fixed,dt,0.0009765625,512,3,default,both,1.9222,2.0092,1.950605,2.32864,2.3788,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,fixed,dt,0.0009765625,512,3,default,none,1.8558,1.9142,1.864825,2.013485,2.2431,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,fixed,dt,0.0009765625,2048,3,default,both,2.9945,3.10445,3.021385,3.48759,3.6451,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,fixed,dt,0.0009765625,2048,3,default,none,2.9604,3.00825,2.96363,3.440605,3.5756,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,fixed,dt,0.0009765625,8192,3,default,both,1.7856,2.65835,2.40234,2.99122,3.4381,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,fixed,dt,0.0009765625,8192,3,default,none,2.1322,2.2676,2.171815,2.383995,2.4903,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,fixed,dt,0.0009765625,32768,3,default,both,3.0397,3.4092,3.11,3.88537,5.5606,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,fixed,dt,0.0009765625,32768,3,default,none,2.2069,2.2772,2.24224,2.36463,2.3709,20,nan,nan,nan,2026-09-08T05:44:47Z
