trajectories,myokit_cuda_minimum_ms,cubie_minimum_ms,cubie_over_myokit_cuda,myokit_cuda_over_cubie,maximum_absolute_error,root_mean_square_error,allclose
512,5.4444000124931335,4.5535999815911055,0.8363823325145231,1.1956254467900729,5.960464477539063e-08,1.670976459010607e-08,True
2048,5.579899996519089,4.273599945008755,0.7658918524838718,1.3056673690376646,5.960464477539063e-08,1.670976459010607e-08,True
8192,6.39320001937449,4.382599960081279,0.6855095956328412,1.4587687851062552,5.960464477539063e-08,1.670976459010607e-08,True
32768,14.324699994176626,6.315300008282065,0.4408678723358537,2.2682532857331883,5.960464477539063e-08,1.670976459010607e-08,True
131072,51.03639990556985,19.98089998960495,0.3915029278431596,2.554259314251185,5.960464477539063e-08,1.670976459010607e-08,True
