package,key,analysis,problem,algorithm,mode,setting_kind,setting,n,states,tier,transfers,min_ms,samples_ms,errored_pct,error,build_s,recorded_utc
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,524288,3,default,both,14.0669,14.073723;15.004813;14.112685;14.076826;14.102746;14.068401;14.068025;14.076956;14.071668;14.076556;14.067933;14.069059;14.08058;14.075595;14.071303;14.072977;14.072918;14.068427;14.083373;14.086623;14.066869,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,524288,3,default,none,13.3975,13.410788;13.397545;13.411408;13.410055;13.468433;13.408241;13.408203;13.409018;13.405384;13.409521;13.405879;13.411053;13.405066;13.414606;13.418711;13.4094;13.407602;13.416278;13.41154;13.40971;13.458666,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,2097152,3,default,both,56.0178,56.026927;56.028415;56.188593;56.036377;56.02611;56.024462;56.022266;56.066677;56.02024;56.050733;56.017777;56.031965;56.037301;56.030292;56.084569;56.037024;56.041874;56.018338;56.023465;56.029245;56.121464,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,2097152,3,default,none,53.4329,53.449696;53.607143;53.47835;53.443445;53.441794;53.43288;53.456461;53.433753;53.439009;53.438417;53.434004;53.441016;53.440343;53.449322;53.538472;53.443443;53.451759;53.446541;53.437967;60.415444;53.441373,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,8388608,3,default,both,223.723,223.772423;223.783064;223.753238;223.723058;223.765687;223.748336;223.735138;223.821013;223.806385;223.80325;223.793601,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,8388608,3,default,none,213.49,213.531924;213.494389;213.497472;213.489664;213.531811;213.704505;213.715713;213.575046;213.852349;213.519827;213.502689,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,8,3,default,both,0.534341,0.541527;0.53574;0.534341;0.535119;0.542595;0.542234;0.541677;0.542622;0.53436;0.535697;0.535606;0.542356;0.541949;0.543277;0.534718;0.535363;0.534897;0.542655;0.542107;0.543002;0.541946,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,8,3,default,none,0.518038,0.558769;0.520727;0.526475;0.527028;0.527426;0.526222;0.526276;0.526727;0.518038;0.526326;0.526572;0.526485;0.526682;0.526495;0.526557;0.526419;0.518223;0.52614;0.526571;0.519423;0.519255,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,32,3,default,both,0.541862,0.539414;0.543197;0.542869;0.54312;0.542904;0.541862;0.542544;0.542271;0.542681;0.559661;0.542697;0.543288;0.542053;0.542158;0.542132;0.543198;0.54273;0.54204;0.542405;0.565644;0.548494,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,32,3,default,none,0.518451,0.558971;0.520454;0.526894;0.526638;0.519217;0.52562;0.527014;0.526645;0.518451;0.540862;0.526725;0.526027;0.526558;0.526375;0.52648;0.526551;0.526634;0.527509;0.526823;0.526625;0.526644,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,128,3,default,both,0.542165,0.550556;0.54435;0.542782;0.542993;0.542165;0.543714;0.543183;0.543139;0.544498;0.54347;0.542522;0.543922;0.543499;0.543059;0.543661;0.543588;0.543411;0.543303;0.543026;0.544295;0.543238,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,128,3,default,none,0.518713,0.556908;0.521518;0.527807;0.527508;0.527194;0.52672;0.527103;0.526563;0.526705;0.526644;0.527002;0.526696;0.527247;0.547843;0.518713;0.52731;0.527476;0.527336;0.526859;0.527404;0.527268,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,512,3,default,both,0.544942,0.552319;0.547795;0.55344;0.544962;0.544942;0.552077;0.546168;0.553247;0.552036;0.554143;0.545427;0.546443;0.553509;0.552656;0.554207;0.545924;0.545137;0.55302;0.553366;0.545894;0.553104,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,512,3,default,none,0.525813,0.557814;0.530092;0.528826;0.536348;0.528136;0.527311;0.535232;0.527365;0.535829;0.535227;0.535298;0.527021;0.52866;0.528225;0.535309;0.527394;0.525813;0.535488;0.527509;0.528085;0.527625,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,2048,3,default,both,0.636819,0.643566;0.644112;0.643702;0.642886;0.640009;0.637084;0.663338;0.644166;0.644792;0.644375;0.644846;0.643721;0.643542;0.644491;0.643951;0.637293;0.644149;0.643852;0.636819;0.642851;0.644129,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,2048,3,default,none,0.615113,0.625336;0.616878;0.623645;0.621971;0.622399;0.622414;0.638468;0.615938;0.615113;0.623443;0.624335;0.624032;0.638657;0.622155;0.616851;0.622914;0.623615;0.615794;0.622285;0.623416;0.616539,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,8192,3,default,both,1.78586,1.811711;1.807823;1.80836;1.805557;1.785859;1.788875;1.794086;1.796227;1.794711;1.801268;1.791917;1.807954;1.805601;1.805374;1.813474;1.806361;1.807773;1.809004;1.805782;1.807861;1.806554,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,8192,3,default,none,1.77833,1.783597;1.781758;1.786319;1.780762;1.780066;1.803171;1.780211;1.788093;1.785521;1.785902;1.779218;1.786575;1.779741;1.78595;1.780119;1.78836;1.779322;1.778327;1.779676;1.780477;1.781294,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,32768,3,default,both,7.00142,7.020614;7.014936;7.148249;7.004538;7.001422;7.005233;7.009687;7.004678;7.012137;7.006807;7.00859;7.01637;7.003615;7.002759;7.007055;7.015987;7.004694;7.017682;7.010136;7.019231;7.018358,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,32768,3,default,none,6.9389,7.008664;6.958004;6.977466;6.95852;6.953867;6.954142;6.957253;6.960673;6.957012;6.963529;6.952662;6.971109;6.947303;6.956442;6.943523;6.955611;6.942258;6.944072;6.956013;6.952057;6.938897,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,131072,3,default,both,26.7298,26.869468;27.060948;27.067207;27.044882;26.866905;27.066661;27.059535;26.741298;27.08819;26.729781;26.863733;27.055782;27.056505;26.861536;26.85807;27.033784;26.857562;27.045766;27.035932;27.038336;26.85471,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,131072,3,default,none,26.6796,26.926761;26.691277;26.686024;26.693612;26.877309;26.877176;26.881879;26.687618;26.873812;26.67962;26.692842;26.877351;26.881542;26.876226;26.693109;26.875705;26.887212;26.698191;26.68538;26.685404;26.876066,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,524288,3,default,both,105.709,106.084049;105.708872;105.915182;105.931182;105.963362;105.958771;105.970829;105.943075;106.041563;105.981146;105.822859;105.982383;105.990421;105.938555;106.053847;105.994296;105.916852;105.963787;105.898848;106.030643;105.936375,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,524288,3,default,none,105.047,105.166292;105.247595;105.310563;105.239249;105.252066;105.138043;105.318704;105.06413;105.321336;105.320737;105.308625;105.540099;105.371617;105.167757;105.228174;105.047238;105.313959;105.401719;105.281342;105.288848;105.25778,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,2097152,3,default,both,421.775,421.910377;421.902588;421.876381;421.950024;421.944783;421.85196;421.931345;421.909666;421.89042;421.774681;421.892484,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,2097152,3,default,none,419.141,419.174674;419.140518;419.220645;419.194807;419.154414;419.248811;419.329149;419.447676;419.229261;419.235493;419.170814,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,8388608,3,default,both,1685.62,1685.786474;1685.702535;1685.636647;1685.840736;1685.897832;1685.699467;1685.82769;1686.079034;1685.839457;1685.619354;1685.949136,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,classical-rk4,fixed,dt,0.0009765625,8388608,3,default,none,1675.29,1702.423204;1675.846125;1675.534472;1675.285633;1676.106071;1675.424561;1675.498602;1675.653089;1675.393141;1675.479766;1675.747788,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,wp,lorenz,cash-karp-54,adaptive,tol,0.01,131072,3,default,d2h,2.870055,,nan,0.0742534563,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,wp,lorenz,cash-karp-54,adaptive,tol,0.001,131072,3,default,d2h,3.006797,,nan,0.01654046917,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,wp,lorenz,cash-karp-54,adaptive,tol,0.0001,131072,3,default,d2h,3.239699,,nan,0.00144996008,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,wp,lorenz,cash-karp-54,adaptive,tol,1e-05,131072,3,default,d2h,3.568655,,nan,0.0002224026171,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,wp,lorenz,cash-karp-54,adaptive,tol,1e-06,131072,3,default,d2h,4.046892,,nan,1.676183668e-05,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,wp,lorenz,cash-karp-54,adaptive,tol,1e-07,131072,3,default,d2h,4.849476,,nan,2.166040314e-06,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,wp,lorenz,cash-karp-54,adaptive,tol,1e-08,131072,3,default,d2h,6.272441,,nan,2.360982512e-06,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,wp,lorenz,classical-rk4,fixed,dt,0.0625,131072,3,default,d2h,2.746572,,nan,0.07584706769,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,wp,lorenz,classical-rk4,fixed,dt,0.03125,131072,3,default,d2h,3.123757,,nan,0.002736693758,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,wp,lorenz,classical-rk4,fixed,dt,0.015625,131072,3,default,d2h,3.886051,,nan,8.794417766e-05,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,wp,lorenz,classical-rk4,fixed,dt,0.0078125,131072,3,default,d2h,5.409333,,nan,3.510518636e-06,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,wp,lorenz,classical-rk4,fixed,dt,0.00390625,131072,3,default,d2h,8.49019,,nan,2.473883714e-06,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,wp,lorenz,classical-rk4,fixed,dt,0.001953125,131072,3,default,d2h,14.628611,,nan,3.468082044e-06,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,wp,lorenz,classical-rk4,fixed,dt,0.0009765625,131072,3,default,d2h,26.878455,,nan,4.840729402e-06,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,wp,lorenz,classical-rk4,fixed,dt,0.00048828125,131072,3,default,d2h,51.402692,,nan,6.817582544e-06,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,wp,lorenz,classical-rk4,fixed,dt,0.000244140625,131072,3,default,d2h,100.445073,,nan,9.627899151e-06,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,wp,lorenz,classical-rk4,fixed,dt,0.000122070312,131072,3,default,d2h,198.548668,,nan,1.342958683e-05,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,states,lorenz96,cash-karp-54,adaptive,tol,1e-05,131072,4,default,both,3.55321,3.569355;3.568848;3.566966;3.569383;3.569152;3.566301;3.562548;3.565534;3.570768;3.568926;3.567037;3.559652;3.553209;3.560556;3.570423;3.569495;3.570165;3.571742;3.570619;3.56942;3.569019,nan,nan,3.067,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,states,lorenz96,cash-karp-54,adaptive,tol,1e-05,131072,4,default,none,3.32692,3.33904;3.329559;3.337392;3.336675;3.331043;3.32898;3.330779;3.33338;3.338435;3.329252;3.332871;3.332889;3.330852;3.342382;3.333196;3.34036;3.326921;3.329454;3.330107;3.338558;3.329786,nan,nan,3.067,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,states,lorenz96,cash-karp-54,adaptive,tol,1e-05,131072,8,default,both,6.38994,6.50691;6.499987;6.504108;6.527268;6.462205;6.556406;6.390672;6.626267;6.615098;6.534342;6.892381;6.430107;6.393165;6.389941;6.390409;6.39212;6.391896;6.434457;6.464924;6.507647;6.418459,nan,nan,3.085,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,states,lorenz96,cash-karp-54,adaptive,tol,1e-05,131072,8,default,none,5.92775,5.944211;5.943928;5.937104;5.945053;5.990297;5.994501;5.987562;6.090849;6.101152;6.077731;6.012759;5.96039;6.078005;6.078565;6.032074;5.940258;6.007773;6.058811;6.226776;5.927748;6.057648,nan,nan,3.085,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,states,lorenz96,cash-karp-54,adaptive,tol,1e-05,131072,16,default,both,12.272,12.286696;12.297292;12.30002;12.286633;12.299096;12.496738;12.277493;12.303129;12.419881;12.271961;12.288624;12.278713;12.291284;12.283599;12.295913;12.27451;12.294374;12.293314;12.307048;12.294367;12.300213,nan,nan,3.164,2026-09-08T10:43:51Z
